term,cur,prev,diff,ma7,z_like,total
ar,4,1,3,1.429,1.171,43
샤오펑,2,0,2,0.286,1.117,2
갤럭시,9,6,3,5.429,1.073,107
bmw,2,0,2,0.571,0.814,15
카카오,2,0,2,0.571,0.814,13
z폴드,1,0,1,0.143,0.622,2
z플립,1,0,1,0.143,0.622,1
수율,1,0,1,0.143,0.622,3
퀄컴,2,1,1,0.857,0.593,27
byd,1,0,1,0.286,0.465,14
lg화학,1,0,1,0.286,0.465,18
태블릿,1,0,1,0.429,0.345,9
알파벳,1,2,-1,0.429,0.345,7
양산,1,1,0,0.571,0.244,38
애플,12,18,-6,11.286,0.164,349
모니터,2,1,1,2.143,-0.058,103
lg디스플레이,1,0,1,1.143,-0.069,96
tv,3,2,1,3.571,-0.198,172
스마트폰,4,3,1,4.714,-0.225,106
엔비디아,3,16,-13,4.0,-0.333,99
노트북,2,3,-1,3.286,-0.457,96
hp,1,0,1,2.143,-0.464,37
기아,1,2,-1,2.286,-0.512,35
xr,1,5,-4,3.0,-0.732,86
sk하이닉스,1,2,-1,3.143,-0.773,137
lg전자,4,4,0,8.714,-1.193,307
삼성전자,3,4,-1,8.857,-1.473,315
oled,1,4,-3,6.143,-1.478,265
디스플레이,1,2,-1,7.286,-1.699,235
