org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AGC,0.69 (0%),,,2.06 (0%),0.71 (0%),,,,3.87 (0%),,
AMD,950.37 (2%),944.76 (2%),,542.18 (2%),96.64 (1%),226.93 (2%),,130.88 (2%),,197.86 (3%),189.49 (3%)
ASE,216.46 (0%),184.38 (0%),,257.00 (1%),,61.76 (1%),23.28 (0%),42.87 (1%),18.58 (0%),,27.97 (0%)
ASUS,432.92 (1%),359.05 (1%),,208.90 (1%),114.28 (2%),168.76 (2%),67.72 (1%),,,144.48 (2%),78.31 (1%)
AUO,97.58 (0%),83.18 (0%),,115.45 (0%),,22.26 (0%),23.98 (0%),12.79 (0%),,9.25 (0%),11.19 (0%)
Acer,19.93 (0%),19.41 (0%),,8.25 (0%),3.53 (0%),9.34 (0%),2.12 (0%),11.28 (0%),,,4.89 (0%)
Amkor,54.97 (0%),42.98 (0%),,64.59 (0%),2.82 (0%),11.49 (0%),,5.27 (0%),,5.69 (0%),8.39 (0%)
Apple,183.48 (0%),151.11 (0%),,95.52 (0%),91.00 (1%),49.55 (0%),42.33 (1%),,,56.23 (1%),37.76 (1%)
BMW,421.93 (1%),338.95 (1%),,414.37 (1%),47.26 (1%),58.89 (1%),146.73 (2%),,,71.17 (1%),53.84 (1%)
BOE,806.75 (2%),679.28 (2%),,331.22 (1%),70.54 (1%),79.71 (1%),,84.24 (1%),,101.06 (1%),81.81 (1%)
BYD,283.12 (1%),235.67 (1%),,274.87 (1%),35.98 (1%),61.76 (1%),84.65 (1%),,,41.28 (1%),35.66 (0%)
Bosch,10.31 (0%),9.70 (0%),,11.68 (0%),4.94 (0%),,7.76 (0%),4.51 (0%),,6.41 (0%),4.20 (0%)
CSOT,250.13 (1%),261.32 (1%),,120.94 (0%),,15.08 (0%),,41.37 (1%),15.49 (0%),24.20 (0%),15.38 (0%)
Continental,6.18 (0%),5.55 (0%),,7.56 (0%),1.41 (0%),0.72 (0%),0.71 (0%),,,,1.40 (0%)
Corning,29.55 (0%),30.50 (0%),,10.99 (0%),7.05 (0%),5.75 (0%),5.64 (0%),3.76 (0%),,4.98 (0%),
Dell,356.64 (1%),251.61 (1%),,209.59 (1%),33.15 (0%),94.08 (1%),50.08 (1%),,,58.36 (1%),79.71 (1%)
ETRI,184.16 (0%),153.88 (0%),,199.97 (1%),,51.71 (1%),19.75 (0%),32.34 (0%),19.36 (0%),,16.78 (0%)
HP,871.34 (2%),548.97 (1%),,440.48 (1%),183.41 (3%),374.87 (4%),116.39 (2%),,,140.21 (2%),211.87 (3%)
Harman,90.02 (0%),104.67 (0%),,85.90 (0%),11.29 (0%),10.05 (0%),25.40 (0%),,,19.22 (0%),9.09 (0%)
Innolux,6.87 (0%),4.16 (0%),,4.12 (0%),0.71 (0%),,1.41 (0%),,,,1.40 (0%)
JDI,6.87 (0%),6.93 (0%),,4.81 (0%),,,,,,0.71 (0%),0.70 (0%)
KAIST,619.15 (1%),470.65 (1%),,509.20 (1%),101.58 (2%),125.68 (1%),116.39 (2%),,,96.08 (1%),81.81 (1%)
LG디스플레이,1808.65 (4%),1861.10 (4%),,1276.77 (4%),192.58 (3%),266.43 (3%),200.34 (3%),175.26 (3%),,201.42 (3%),
LG전자,3746.49 (8%),4001.54 (9%),,3002.28 (9%),634.88 (9%),744.72 (8%),584.09 (8%),,,634.15 (9%),744.68 (10%)
LG화학,924.25 (2%),829.00 (2%),,944.87 (3%),100.17 (1%),99.82 (1%),148.14 (2%),,,108.89 (1%),96.49 (1%)
Magna,4.81 (0%),7.62 (0%),,7.56 (0%),,0.72 (0%),1.41 (0%),,,,1.40 (0%)
Merck,41.23 (0%),33.27 (0%),,25.43 (0%),7.76 (0%),17.24 (0%),14.81 (0%),,3.10 (0%),,7.69 (0%)
Nitto,7.56 (0%),6.24 (0%),,6.87 (0%),1.41 (0%),,0.71 (0%),,,1.42 (0%),1.40 (0%)
POSTECH,11.68 (0%),6.93 (0%),,8.93 (0%),2.12 (0%),,2.12 (0%),1.50 (0%),,3.56 (0%),1.40 (0%)
SFA,24.05 (0%),22.18 (0%),,26.11 (0%),,1.44 (0%),2.12 (0%),,,6.41 (0%),4.20 (0%)
SK하이닉스,2363.20 (5%),1874.96 (4%),,1805.21 (5%),,402.88 (4%),217.27 (3%),277.55 (4%),,249.10 (3%),288.08 (4%)
TCL,597.16 (1%),784.64 (2%),,260.44 (1%),89.59 (1%),109.88 (1%),,120.35 (2%),,83.27 (1%),69.92 (1%)
TSMC,607.46 (1%),480.35 (1%),,472.09 (1%),,95.51 (1%),50.79 (1%),54.91 (1%),,83.27 (1%),66.43 (1%)
Tianma,36.42 (0%),33.27 (0%),,13.74 (0%),2.82 (0%),5.03 (0%),2.12 (0%),4.51 (0%),,5.69 (0%),
Toray,13.74 (0%),11.09 (0%),,8.93 (0%),0.71 (0%),2.15 (0%),2.12 (0%),,,2.14 (0%),1.40 (0%)
