term,cur,prev,diff,total,ma7,z_like
삼성전자,18,13,5,366,17.714,0.055
lg전자,14,7,7,280,8.857,1.293
애플,13,7,6,295,8.857,1.042
삼성디스플레이,11,1,10,44,3.714,2.489
디스플레이,10,6,4,176,7.571,0.647
모니터,6,0,6,96,2.571,1.317
폴더블,6,5,1,216,7.714,-0.454
oled,6,12,-6,319,16.286,-2.043
xr,5,3,2,68,2.571,0.933
벤츠,5,0,5,24,2.571,0.933
구글,5,5,0,94,2.857,0.797
엔비디아,4,3,1,111,6.143,-0.616
tv,4,9,-5,196,10.0,-1.442
카카오,3,0,3,26,1.429,0.716
아이폰,3,1,2,77,1.857,0.484
갤럭시,3,9,-6,213,3.0,0.0
비전프로,2,0,2,2,0.286,1.117
맥북,2,1,1,16,0.429,0.95
kaist,2,0,2,21,0.571,0.814
공급망,2,0,2,52,0.857,0.593
퀄컴,2,1,1,32,1.0,0.5
노트북,2,3,-1,85,2.143,-0.058
tcl,2,1,1,22,2.857,-0.319
스마트폰,2,7,-5,97,3.143,-0.412
태블릿,1,0,1,11,0.143,0.622
아이패드,1,0,1,7,0.143,0.622
csot,1,0,1,2,0.143,0.622
화웨이,1,1,0,14,0.286,0.465
올레드,1,0,1,12,0.286,0.465
tsmc,1,0,1,20,0.429,0.345
bmw,1,0,1,14,0.429,0.345
소니,1,1,0,12,0.429,0.345
hp,1,2,-1,41,0.571,0.244
인텔,1,1,0,34,0.571,0.244
샤오미,1,1,0,15,0.571,0.244
lg디스플레이,1,4,-3,124,2.286,-0.512
sk하이닉스,1,5,-4,91,2.286,-0.512
lcd,1,1,0,36,2.714,-0.648
