term,cur,prev,diff,ma7,z_like,total
벤츠,32,1,31,11.143,4.808,84
디스플레이,18,4,14,5.714,3.624,147
xr,15,5,10,4.714,3.243,134
갤럭시,11,9,2,5.143,1.792,96
sk하이닉스,2,0,2,0.571,0.814,39
vr,2,1,1,0.571,0.814,10
bmw,1,0,1,0.143,0.622,10
microsoft,1,0,1,0.143,0.622,1
nvidia,1,0,1,0.143,0.622,16
고해상도,1,0,1,0.143,0.622,2
샤프,1,0,1,0.143,0.622,6
선익시스템,1,0,1,0.143,0.622,6
소니,1,0,1,0.143,0.622,5
수율,1,0,1,0.143,0.622,5
샤오미,2,1,1,0.857,0.593,26
사이니지,1,0,1,0.286,0.465,6
카카오,1,0,1,0.286,0.465,10
니트,1,1,0,0.286,0.465,2
저전력,1,1,0,0.286,0.465,4
모바일,3,2,1,2.143,0.348,26
lcd,1,0,1,0.429,0.345,17
폴더블,5,17,-12,4.0,0.333,76
oled,6,12,-6,5.0,0.309,231
노트북,5,5,0,4.143,0.282,84
양산,1,0,1,0.571,0.244,10
삼성디스플레이,1,1,0,0.571,0.244,37
ar,2,1,1,1.857,0.06,39
amd,1,0,1,1.143,-0.069,46
lg디스플레이,1,1,0,1.143,-0.069,81
엔비디아,6,5,1,6.429,-0.121,180
모니터,2,2,0,2.571,-0.219,94
boe,1,1,0,1.571,-0.254,25
아이폰,1,2,-1,2.0,-0.414,65
스마트폰,3,2,1,4.571,-0.501,71
애플,3,12,-9,6.286,-0.937,226
lg전자,3,2,1,6.714,-1.034,207
tv,5,10,-5,9.286,-1.059,210
삼성전자,7,6,1,11.714,-1.066,534
