org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
-OLED,6,0,7,3,3,1,3,3
...한화,0,0,0,0,1,0,8,0
...현대모비스,0,7,0,0,3,2,1,1
0.03ms,1,1,4,4,3,2,1,7
0으로,0,0,0,0,2,0,7,1
1.5버전,1,0,0,0,1,1,0,4
10개,0,2,0,0,6,6,3,19
13개,2,0,1,0,2,1,0,2
150m2형,1,0,3,1,3,0,2,2
152m2형,1,0,3,1,3,0,2,2
180개를,1,0,0,2,1,1,1,1
1군,1,0,3,1,3,0,2,2
1로,1,0,3,1,3,0,2,2
1만4천,10,0,6,1,2,6,3,2
1만6500원을,10,0,6,1,2,6,3,2
1사,0,1,1,3,3,2,6,1
1순위,2,2,1,0,6,2,2,2
1실점,0,0,0,0,1,0,7,0
1위로,0,0,0,0,1,0,7,0
1위를,0,2,0,0,6,6,3,19
1을,1,0,3,1,3,0,2,2
1의,1,0,3,1,3,0,2,2
1이닝,0,0,0,0,1,0,7,0
1층,1,1,2,0,1,2,0,1
1타점,0,1,1,3,4,2,13,1
1평,1,0,3,1,3,0,2,2
1회말,0,0,0,0,1,0,7,0
1회초,0,0,0,0,2,0,7,0
2.3버전,1,0,0,2,1,1,1,1
2.4GHz,0,0,0,1,1,0,0,0
2.99파운드,0,0,0,0,1,0,0,1
200만,2,1,3,8,1,3,2,4
2030년에는,3,1,4,1,5,3,1,7
2032년까지,1,10,2,2,4,4,2,2
20점,0,1,0,0,2,2,1,6
23개,3,10,2,0,4,2,1,1
2560x1440,1,1,4,4,3,2,1,7
285H,1,1,2,2,4,5,4,11
288V,1,1,2,2,4,5,4,11
2o,0,0,0,0,1,1,1,1
2년간,0,0,0,0,3,3,1,2
2루,0,2,1,3,5,2,13,1
2루수,0,1,1,3,3,2,6,1
2루의,0,0,0,0,2,0,7,0
2루타를,0,0,0,0,1,0,7,0
2배,0,0,0,0,1,2,1,6
2사,0,2,1,3,7,2,20,2
2승,0,1,0,0,2,0,7,0
2안타,0,0,0,0,2,0,7,1
2인,1,1,2,0,1,2,0,1
2차전지,2,2,3,0,4,1,2,1
2층은,1,1,2,0,1,2,0,1
2타점,0,1,0,0,7,1,29,2
3.3m2,1,0,3,1,3,0,2,2
3.99파운드,0,0,0,0,1,0,0,1
300은,1,0,0,0,0,2,0,4
34억,3,1,2,0,4,1,5,2
3633억,10,0,6,1,2,6,3,2
36억,3,1,2,0,4,1,5,2
3D,1,1,2,2,3,3,3,5
3D마크,1,1,2,2,3,3,3,5
3a,0,0,0,0,1,1,1,1
3단,0,0,0,4,0,2,0,4
3루,0,1,1,3,3,2,6,1
3무,0,1,0,0,6,1,22,2
3연승을,0,0,0,0,1,0,7,0
3열,6,1,4,7,5,3,4,3
3으로,0,1,0,0,2,1,7,1
3이닝,0,1,0,0,2,0,7,0
3차,1,0,3,2,4,1,4,2
3탈삼진,0,1,0,0,4,0,14,1
4394억,10,0,6,1,2,6,3,2
4o,0,0,0,0,1,1,1,1
4무,0,0,0,0,2,0,7,1
4점을,0,1,0,0,2,1,7,1
4층,1,1,2,0,1,2,0,1
4파티를,1,0,0,2,1,1,1,1
500니트,1,0,3,0,0,0,0,0
50곳,0,0,0,0,3,3,1,2
5600원,0,0,0,0,1,0,0,1
5는,6,1,4,7,5,3,4,3
5억1000만원,1,0,3,1,3,0,2,2
5이닝이라도,0,0,0,0,1,0,8,0
5일부터,1,0,1,2,0,0,1,1
65억,3,1,2,0,4,1,5,2
67패,0,0,0,0,2,0,7,1
6무,0,0,0,0,2,0,7,1
6시,0,0,0,0,2,0,7,1
6연승을,0,1,0,0,2,1,7,1
6이닝,0,0,0,0,1,0,7,0
6조7639억,10,0,6,1,2,6,3,2
6회말,0,0,0,0,2,1,8,1
73승,0,0,0,0,2,0,7,1
7500원,0,0,0,0,1,0,0,1
8.6G,3,2,9,1,4,3,0,1
8.6세대,19,9,30,5,16,12,6,13
84m2A,2,2,1,0,6,2,2,2
84m2형,1,0,3,1,3,0,2,2
84m2형의,1,0,3,1,3,0,2,2
84키,0,0,0,1,1,0,0,0
85승,0,1,0,0,2,0,7,0
8세대급,6,2,20,2,9,9,0,3
8일까지,1,0,1,2,0,0,1,1
99m2A,2,2,1,0,6,2,2,2
99m2형,1,0,3,1,3,0,2,2
AI,39,19,47,25,62,86,34,85
AI9,0,0,0,0,1,2,1,6
AI가,2,1,1,1,3,5,1,2
AI는,6,2,3,1,5,7,4,2
AI를,8,3,4,2,8,12,5,4
AMD,2,1,2,4,7,9,6,21
APEC,6,3,4,2,7,11,5,5
AP시스템,9,3,29,3,15,14,2,6
AP시스템은,6,3,18,2,10,8,2,4
