org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,82.34 (2%),55.77 (2%),,63.77 (2%),18.06 (1%),32.36 (2%),53.26 (4%),,36.18 (2%),,16.62 (2%)
ASUS,17.15 (0%),15.01 (1%),,18.02 (0%),2.17 (0%),4.85 (0%),6.95 (1%),,1.48 (0%),,5.06 (1%)
AUO,4.80 (0%),2.14 (0%),,4.85 (0%),2.17 (0%),,0.77 (0%),,1.48 (0%),,
Acer,8.92 (0%),6.43 (0%),,4.85 (0%),,2.43 (0%),3.09 (0%),,3.69 (0%),1.51 (0%),2.89 (0%)
Apple,6.18 (0%),4.29 (0%),,2.08 (0%),0.72 (0%),,0.77 (0%),,,2.26 (0%),2.17 (0%)
BMW,56.27 (1%),32.89 (1%),,62.38 (2%),113.44 (4%),22.65 (1%),21.61 (2%),,20.67 (1%),,15.17 (2%)
BOE,95.38 (2%),32.17 (1%),,42.98 (1%),15.17 (1%),17.80 (1%),,,39.87 (3%),21.13 (2%),15.90 (2%)
BYD,29.51 (1%),11.44 (0%),,26.34 (1%),33.96 (1%),7.28 (0%),,,11.07 (1%),10.57 (1%),6.50 (1%)
Bosch,3.43 (0%),,2.11 (1%),3.47 (0%),,0.81 (0%),0.77 (0%),,0.74 (0%),0.75 (0%),1.45 (0%)
CSOT,16.47 (0%),7.86 (0%),,6.24 (0%),1.45 (0%),1.62 (0%),1.54 (0%),,5.91 (0%),6.79 (1%),
Continental,2.06 (0%),0.71 (0%),,2.77 (0%),0.72 (0%),,,,0.74 (0%),,
Dell,36.37 (1%),15.73 (1%),,25.65 (1%),,3.24 (0%),10.04 (1%),,8.12 (1%),3.02 (0%),7.23 (1%)
HP,49.40 (1%),27.17 (1%),,33.96 (1%),,123.77 (8%),6.95 (1%),,16.98 (1%),9.06 (1%),15.90 (2%)
Harman,4.80 (0%),4.29 (0%),,5.55 (0%),3.61 (0%),,0.77 (0%),,2.95 (0%),0.75 (0%),1.45 (0%)
Innolux,2.06 (0%),0.71 (0%),,2.77 (0%),0.72 (0%),,,,0.74 (0%),,
JDI,3.43 (0%),3.57 (0%),,0.69 (0%),0.72 (0%),,0.77 (0%),,1.48 (0%),0.75 (0%),0.72 (0%)
KAIST,49.40 (1%),26.45 (1%),,45.75 (1%),17.34 (1%),24.27 (2%),10.81 (1%),,23.62 (2%),,20.23 (2%)
LG디스플레이,141.35 (3%),112.96 (4%),,143.48 (4%),189.31 (6%),28.31 (2%),36.28 (3%),,49.46 (3%),,22.40 (2%)
LG전자,356.13 (9%),360.34 (14%),,316.08 (9%),268.79 (9%),224.90 (15%),88.77 (7%),,101.14 (7%),,57.80 (6%)
LG화학,57.64 (1%),27.88 (1%),,69.31 (2%),34.68 (1%),6.47 (0%),,,16.24 (1%),13.58 (1%),14.45 (2%)
Magna,2.06 (0%),0.71 (0%),,,2.17 (0%),0.81 (0%),,,,,0.72 (0%)
Merck,4.80 (0%),3.57 (0%),1.05 (0%),6.24 (0%),7.23 (0%),0.81 (0%),2.32 (0%),,,,0.72 (0%)
SK하이닉스,127.63 (3%),66.49 (3%),,142.10 (4%),73.70 (3%),,30.11 (2%),,38.39 (3%),43.02 (5%),31.07 (3%)
TCL,54.21 (1%),47.90 (2%),,18.71 (1%),9.39 (0%),15.37 (1%),13.12 (1%),,25.84 (2%),24.91 (3%),
TSMC,67.93 (2%),27.17 (1%),,63.08 (2%),33.24 (1%),,10.81 (1%),14.16 (4%),17.72 (1%),22.64 (2%),
Tianma,5.49 (0%),2.14 (0%),,4.16 (0%),0.72 (0%),,,,5.91 (0%),0.75 (0%),
Toray,3.43 (0%),,11.59 (4%),1.39 (0%),,10.52 (1%),3.09 (0%),,0.74 (0%),,2.17 (0%)
UDC,3.43 (0%),,,1.39 (0%),0.72 (0%),,,,,,1.45 (0%)
UL,12.35 (0%),6.43 (0%),,12.48 (0%),5.78 (0%),3.24 (0%),6.18 (0%),,4.43 (0%),,5.06 (1%)
Visionox,5.49 (0%),2.86 (0%),,1.39 (0%),0.72 (0%),,,,1.48 (0%),2.26 (0%),0.72 (0%)
구글,124.20 (3%),64.35 (3%),,89.42 (2%),26.01 (1%),29.12 (2%),,,44.30 (3%),27.17 (3%),26.01 (3%)
기아,63.81 (2%),35.03 (1%),,79.02 (2%),40.46 (1%),19.42 (1%),11.58 (1%),,21.41 (1%),,18.06 (2%)
기아자동차,4.80 (0%),3.57 (0%),,5.55 (0%),,0.81 (0%),,1.09 (0%),1.48 (0%),0.75 (0%),1.45 (0%)
네이버,125.57 (3%),70.07 (3%),,103.28 (3%),40.46 (1%),86.56 (6%),44.00 (3%),,46.51 (3%),,43.35 (5%)
도우인시스,1.37 (0%),0.71 (0%),,2.08 (0%),0.72 (0%),0.81 (0%),0.77 (0%),,,,
두산로보틱스,20.59 (0%),26.45 (1%),,24.95 (1%),7.23 (0%),3.24 (0%),6.18 (0%),,8.86 (1%),,4.34 (0%)
딥엑스,8.23 (0%),7.15 (0%),,14.56 (0%),4.34 (0%),,3.86 (0%),,,,0.72 (0%)
레노버,66.56 (2%),32.89 (1%),8.43 (3%),37.43 (1%),,186.07 (12%),16.98 (1%),,17.72 (1%),,19.51 (2%)
리벨리온,18.53 (0%),17.16 (1%),,17.33 (0%),7.95 (0%),4.85 (0%),1.54 (0%),,,5.28 (1%),1.45 (0%)
마이크로소프트,98.81 (2%),47.19 (2%),,70.01 (2%),29.63 (1%),,13.89 (1%),,33.96 (2%),14.34 (2%),22.40 (2%)
메타,94.01 (2%),45.76 (2%),,72.78 (2%),20.23 (1%),10.52 (1%),,,22.89 (2%),21.89 (2%),18.79 (2%)
미디어텍,18.53 (0%),9.29 (0%),,12.48 (0%),7.23 (0%),,4.63 (0%),,4.43 (0%),8.30 (1%),4.34 (0%)
바이두,4.80 (0%),2.86 (0%),,2.77 (0%),,1.62 (0%),0.77 (0%),1.09 (0%),,1.51 (0%),1.45 (0%)
벤츠,63.13 (2%),44.33 (2%),13.70 (4%),74.17 (2%),257.23 (9%),38.83 (3%),37.82 (3%),,19.93 (1%),,
비보,5.49 (0%),,,1.39 (0%),1.45 (0%),0.81 (0%),1.54 (0%),,2.21 (0%),2.26 (0%),1.45 (0%)
삼성디스플레이,146.84 (4%),87.23 (3%),,154.57 (4%),304.20 (10%),59.86 (4%),61.75 (5%),,45.77 (3%),30.19 (3%),
삼성전자,649.16 (15%),460.94 (17%),,614.99 (16%),737.45 (24%),215.75 (13%),407.69 (31%),,348.06 (22%),,126.70 (13%)
샤오미,83.09 (2%),39.84 (1%),,47.54 (1%),37.17 (1%),24.27 (1%),,26.85 (7%),22.94 (1%),99.48 (10%),
샤오펑,2.74 (0%),2.14 (0%),,2.08 (0%),,,,,0.74 (0%),0.75 (0%),0.72 (0%)
샤프,3.43 (0%),,,0.69 (0%),,4.04 (0%),,,0.74 (0%),0.75 (0%),35.41 (4%)
선익시스템,7.55 (0%),3.57 (0%),,12.48 (0%),2.89 (0%),,,,0.74 (0%),1.51 (0%),2.17 (0%)
소니,15.10 (0%),10.01 (0%),,13.17 (0%),,11.33 (1%),7.72 (1%),,2.95 (0%),6.04 (1%),4.34 (0%)
아마존,98.81 (2%),50.05 (2%),,72.09 (2%),30.35 (1%),73.62 (5%),23.93 (2%),,35.44 (2%),,28.90 (3%)
알파벳,28.82 (1%),11.44 (0%),,20.79 (1%),7.95 (0%),,1.54 (0%),,8.86 (1%),5.28 (1%),9.39 (1%)
애플,217.59 (5%),114.11 (4%),,154.29 (4%),77.39 (3%),45.02 (3%),,,93.80 (6%),40.41 (4%),49.31 (5%)
엔비디아,394.46 (8%),211.95 (7%),,339.09 (8%),250.86 (8%),,129.65 (9%),119.10 (30%),123.99 (7%),102.94 (10%),
오포,10.98 (0%),2.86 (0%),,4.16 (0%),2.89 (0%),,3.09 (0%),,3.69 (0%),3.02 (0%),2.89 (0%)
원익IPS,27.45 (1%),15.01 (1%),,39.51 (1%),11.56 (0%),,3.86 (0%),,5.91 (0%),4.53 (0%),2.89 (0%)
