term,cur,prev,diff,ma7,z_like,total
갤럭시,8,1,7,2.286,2.275,72
byd,4,0,4,0.857,1.632,13
ar,6,0,6,2.286,1.479,34
스마트폰,6,2,4,2.714,1.241,56
kaist,3,1,2,0.714,1.239,7
공급망,4,0,4,1.714,0.99,34
tsmc,1,0,1,0.143,0.622,10
해상도,1,0,1,0.143,0.622,2
lg화학,1,0,1,0.286,0.465,16
인텔,2,2,0,1.143,0.414,47
엔비디아,5,1,4,3.857,0.386,145
카카오,1,0,1,0.571,0.244,9
boe,2,2,0,1.714,0.124,23
샤오미,3,0,3,2.714,0.108,25
폴더블,2,2,0,2.143,-0.058,58
아이폰,3,3,0,3.286,-0.102,63
모바일,1,0,1,1.286,-0.134,18
xr,1,1,0,1.429,-0.195,110
노트북,2,2,0,4.143,-0.706,64
삼성전자,16,13,3,20.286,-0.779,526
디스플레이,2,6,-4,4.429,-0.782,120
lg전자,4,9,-5,7.571,-0.952,201
애플,5,3,2,9.143,-1.03,205
모니터,2,3,-1,5.571,-1.063,87
oled,2,4,-2,6.857,-1.342,211
tv,2,5,-3,9.857,-1.898,173
