term,cur,prev,diff,total,ma7,z_like
삼성전자,61,35,26,567,23.286,6.474
tv,27,19,8,286,10.857,3.759
lg전자,9,5,4,264,8.143,0.222
하이센스,8,5,3,16,1.857,2.6
oled,8,3,5,294,4.714,1.036
lg디스플레이,7,13,-6,95,5.429,0.472
엔비디아,6,6,0,227,3.714,0.781
디스플레이,6,3,3,169,4.0,0.667
ar,5,2,3,27,1.429,1.627
xr,5,3,2,112,5.429,-0.129
노트북,4,3,1,116,4.429,-0.138
갤럭시,3,1,2,51,1.857,0.484
아마존,2,0,2,3,0.286,1.117
boe,2,2,0,30,0.857,0.593
hp,2,0,2,45,1.0,0.5
모바일,2,1,1,26,1.286,0.335
모니터,2,1,1,157,1.429,0.26
폴더블,2,7,-5,67,2.143,-0.058
애플,2,9,-7,158,4.143,-0.706
폭스바겐,1,0,1,5,0.143,0.622
microsoft,1,0,1,2,0.143,0.622
에어팟,1,0,1,1,0.143,0.622
한화솔루션,1,0,1,1,0.143,0.622
화웨이,1,0,1,15,0.286,0.465
현대모비스,1,0,1,9,0.286,0.465
비보,1,0,1,4,0.286,0.465
저전력,1,0,1,4,0.286,0.465
샤오미,1,1,0,18,0.429,0.345
lcd,1,0,1,10,0.714,0.155
인텔,1,0,1,51,1.0,0.0
아이폰,1,3,-2,48,1.286,-0.134
공급망,1,3,-2,50,1.571,-0.254
레노버,1,1,0,89,1.714,-0.309
구글,1,2,-1,110,2.0,-0.414
스마트폰,1,3,-2,85,2.429,-0.558
