term,cur,prev,diff,total,ma7,z_like
qled,6,0,6,19,0.857,2.67
갤럭시,9,2,7,120,2.857,2.283
고성능,4,0,4,14,0.571,1.953
엔비디아,10,1,9,165,4.571,1.73
nvidia,3,0,3,6,0.429,1.554
샤오미,3,0,3,48,0.857,1.113
맥북,2,0,2,18,0.429,0.95
인텔,3,2,1,30,1.143,0.898
boe,4,2,2,32,2.0,0.828
ltpo,1,0,1,1,0.143,0.622
서피스,1,0,1,1,0.143,0.622
원익ips,1,0,1,1,0.143,0.622
알파벳,1,0,1,4,0.143,0.622
올레드,1,0,1,7,0.143,0.622
생산량,1,1,0,2,0.286,0.465
아이패드,1,0,1,10,0.286,0.465
dell,1,0,1,13,0.286,0.465
하이센스,1,0,1,13,0.286,0.465
화웨이,1,1,0,45,0.429,0.345
xr,4,2,2,90,3.286,0.254
모바일,1,1,0,42,0.571,0.244
공급망,1,1,0,58,1.0,0.0
삼성디스플레이,2,0,2,71,2.143,-0.058
tsmc,1,1,0,12,1.143,-0.069
hp,1,1,0,39,2.0,-0.414
