org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
높이고,2,5,0,0,0,11,6,20,3,4,1,1,3,3
높이는,1,2,0,1,0,4,2,1,1,2,0,1,2,1
높일,1,3,0,0,1,4,3,10,2,2,1,0,2,2
누적,2,8,8,6,4,11,5,1,4,6,1,7,7,8
뉴스1,1,2,1,2,0,3,1,0,0,0,0,2,2,0
뉴스타운TV,2,3,0,2,1,4,2,0,10,1,2,0,3,3
뉴시스,2,6,4,8,3,11,8,11,2,5,2,6,6,8
뉴욕,1,5,2,4,1,9,3,1,2,3,3,5,4,2
늘어나는,1,7,9,6,0,12,6,0,6,2,4,2,10,12
다.,5,7,2,5,3,8,3,1,2,3,2,2,7,7
다른,12,9,14,14,50,18,10,2,9,14,8,20,13,12
다만,4,4,2,0,2,6,6,1,2,14,4,5,11,8
다수,1,2,2,0,2,5,2,0,1,4,0,2,4,2
다시,0,3,1,3,0,2,3,0,1,2,2,3,4,3
다양한,45,109,67,88,37,118,63,28,98,42,61,49,76,100
다운로드,3,2,3,3,3,5,1,0,1,2,4,3,2,2
다이아몬드,1,1,1,2,2,0,1,0,1,1,1,2,0,1
단가를,1,3,5,1,0,5,2,0,1,1,1,2,5,5
단기,0,3,2,0,0,2,2,0,3,7,2,0,4,9
단독,1,3,3,2,0,4,5,1,2,3,0,0,4,6
단순,5,4,3,1,3,2,4,2,2,4,3,1,5,5
단순한,1,9,2,1,2,1,3,1,2,3,5,1,1,3
단순히,1,9,2,1,2,1,3,1,2,3,5,1,1,3
단일,1,4,3,2,0,3,3,0,2,9,1,1,5,9
단자가,2,4,7,6,1,3,2,0,1,0,2,4,1,4
단자는,2,4,7,6,1,3,2,0,1,0,2,4,1,4
달러,9,12,8,12,8,14,11,5,6,10,4,5,14,13
달리,1,2,3,6,3,4,5,1,0,3,1,4,3,3
담은,0,0,0,1,2,2,1,0,0,1,1,1,1,0
당일,2,2,0,3,2,1,3,1,0,1,1,1,0,0
대거,1,5,7,3,4,7,5,0,5,4,3,4,7,6
대덕전자는,5,7,2,5,3,8,3,1,2,3,2,2,7,7
대로,1,4,2,0,2,2,2,0,2,2,2,0,3,8
대비,24,52,29,28,17,46,38,8,21,47,26,15,58,73
대상,3,3,3,4,7,6,1,1,1,3,3,8,2,1
대상으로,0,1,0,0,2,1,1,0,0,0,2,0,0,0
대신증권,4,4,4,4,2,12,10,1,3,8,2,4,16,10
대신증권은,1,2,3,1,0,2,3,0,1,5,3,1,4,8
대안이,2,3,3,2,1,7,3,0,2,4,1,2,8,7
대죄,1,3,6,3,3,3,2,0,3,1,2,4,3,3
대표,21,19,4,6,10,27,22,26,14,23,11,16,21,18
대표이사,2,2,0,1,2,6,5,2,2,3,1,3,6,4
대한,19,23,21,15,51,35,20,8,15,25,13,26,31,23
대해,9,9,10,8,41,17,7,1,10,11,7,13,12,10
대해선,4,4,1,5,1,3,4,1,1,6,3,1,5,5
대형,4,18,20,8,4,19,15,0,8,14,6,8,20,31
대형차임에도,1,8,1,1,4,1,1,0,2,2,3,2,1,2
대화도시가스,0,0,0,1,2,2,1,0,0,1,1,1,1,0
더욱,1,13,7,32,7,13,8,0,9,7,14,3,6,14
더팩트,1,2,3,6,3,4,5,1,0,3,1,4,3,3
더해,2,2,0,3,2,1,3,1,0,1,1,1,0,0
덕분에,4,3,7,3,0,1,3,1,2,1,4,4,1,4
덕수궁,1,2,2,1,1,1,2,0,2,1,1,3,1,1
던전,0,0,2,2,2,1,1,0,1,1,1,0,0,1
덧붙였다.,1,3,2,2,1,5,2,0,3,2,0,1,4,7
