--- Sentiment Scaling Log (2026-03-23) ---
--- (Topic_ID (Semantic_Key): raw_score -> final_score) ---
--------------------------------------------------
Topic 0 (Flexible_Display_Topic): score_raw=0.5694 -> score_final=0.5694
Topic 0 (Flexible_Display_Topic): score_raw=0.5578 -> score_final=0.5578
Topic 0 (Flexible_Display_Topic): score_raw=0.5611 -> score_final=0.5611
Topic 0 (Flexible_Display_Topic): score_raw=0.5567 -> score_final=0.5567
Topic 0 (Flexible_Display_Topic): score_raw=0.5552 -> score_final=0.5552
Topic 0 (Flexible_Display_Topic): score_raw=0.5574 -> score_final=0.5574
Topic 0 (Flexible_Display_Topic): score_raw=0.5654 -> score_final=0.5654
Topic 0 (Flexible_Display_Topic): score_raw=0.5455 -> score_final=0.5455
Topic 0 (Flexible_Display_Topic): score_raw=0.5650 -> score_final=0.5650
Topic 0 (Flexible_Display_Topic): score_raw=0.5605 -> score_final=0.5605
Topic 0 (Flexible_Display_Topic): score_raw=0.5816 -> score_final=0.5816
Topic 0 (Flexible_Display_Topic): score_raw=0.5531 -> score_final=0.5531
Topic 0 (Flexible_Display_Topic): score_raw=0.5589 -> score_final=0.5589
Topic 0 (Flexible_Display_Topic): score_raw=0.5570 -> score_final=0.5570
Topic 0 (Flexible_Display_Topic): score_raw=0.5486 -> score_final=0.5486
Topic 0 (Flexible_Display_Topic): score_raw=0.5449 -> score_final=0.5449
Topic 0 (Flexible_Display_Topic): score_raw=0.5656 -> score_final=0.5656
Topic 0 (Flexible_Display_Topic): score_raw=0.5536 -> score_final=0.5536
Topic 0 (Flexible_Display_Topic): score_raw=0.5607 -> score_final=0.5607
Topic 0 (Flexible_Display_Topic): score_raw=0.5603 -> score_final=0.5603
Topic 0 (Flexible_Display_Topic): score_raw=0.5688 -> score_final=0.5688
Topic 0 (Flexible_Display_Topic): score_raw=0.5434 -> score_final=0.5434
Topic 0 (Flexible_Display_Topic): score_raw=0.5406 -> score_final=0.5406
Topic 0 (Flexible_Display_Topic): score_raw=0.5552 -> score_final=0.5552
Topic 0 (Flexible_Display_Topic): score_raw=0.5591 -> score_final=0.5591
Topic 0 (Flexible_Display_Topic): score_raw=0.5680 -> score_final=0.5680
Topic 0 (Flexible_Display_Topic): score_raw=0.5516 -> score_final=0.5516
Topic 0 (Flexible_Display_Topic): score_raw=0.5538 -> score_final=0.5538
Topic 0 (Flexible_Display_Topic): score_raw=0.5503 -> score_final=0.5503
Topic 0 (Flexible_Display_Topic): score_raw=0.5488 -> score_final=0.5488
Topic 0 (Flexible_Display_Topic): score_raw=0.5578 -> score_final=0.5578
Topic 0 (Flexible_Display_Topic): score_raw=0.5535 -> score_final=0.5535
Topic 0 (Flexible_Display_Topic): score_raw=0.5523 -> score_final=0.5523
Topic 0 (Flexible_Display_Topic): score_raw=0.5579 -> score_final=0.5579
Topic 0 (Flexible_Display_Topic): score_raw=0.5493 -> score_final=0.5493
Topic 0 (Flexible_Display_Topic): score_raw=0.5479 -> score_final=0.5479
Topic 0 (Flexible_Display_Topic): score_raw=0.5342 -> score_final=0.5342
Topic 0 (Flexible_Display_Topic): score_raw=0.5552 -> score_final=0.5552
Topic 0 (Flexible_Display_Topic): score_raw=0.5534 -> score_final=0.5534
Topic 0 (Flexible_Display_Topic): score_raw=0.5539 -> score_final=0.5539
