term,cur,prev,diff,total,ma7,z_like
고효율,5,0,5,9,0.714,2.323
모니터,7,3,4,137,2.571,1.701
byd,2,0,2,6,0.286,1.117
아마존,2,0,2,9,0.429,0.95
하이센스,2,1,1,26,0.429,0.95
엔비디아,3,2,1,83,1.143,0.898
올레드,2,0,2,39,0.714,0.697
갤럭시탭,1,0,1,1,0.143,0.622
애플워치,1,0,1,1,0.143,0.622
알파벳,1,0,1,15,0.143,0.622
lcd,1,0,1,28,0.143,0.622
ar,3,1,2,35,1.714,0.557
현대모비스,3,0,3,35,1.857,0.484
csot,1,1,0,5,0.429,0.345
amd,1,1,0,30,0.429,0.345
메타,2,2,0,26,1.286,0.335
sk하이닉스,2,2,0,51,1.286,0.335
인텔,2,0,2,56,1.286,0.335
아이폰,3,1,2,62,2.286,0.284
모바일,1,1,0,53,1.0,0.0
xr,2,0,2,48,2.143,-0.058
