cluster_id,keywords
0,"인프라, 투자, 수출, 개발, 유럽, 제조, 생산, 공장, 특허, 설계"
1,갤럭시
2,"폴더블, 소재, 미국, 증가, 글로벌테크놀로지, 이용, 신규, 양산, 계획, 선물, 점유율, 고효율, 예정, 결과, 확인, 신제품, 서버, 솔루션, 협력사, 수준, 공간, 방식, 문제, 청약, 천안, 대상, 적용, 앞두고, 영업, 바이오, 연결, 환경, 유지, 추가, 시스템, 위험, 선택, 많은, 보상, 흐름, 게임, 업무, 정보, 밝기, 폴드8, 평가"
3,"애플, 스마트폰, 아이폰, 카메라, 구글, 화면"
4,"전기, 에너지"
5,"달러, 충전, 금리, 배터리"
6,중국
7,"모니터, 반도체, 노트북"
