term,cur,prev,diff,ma7,z_like,total
4k,7,0,7,1.0,3.0,13
iphone,3,1,2,0.571,1.383,4
byd,2,0,2,0.429,0.95,14
기아,2,0,2,0.429,0.95,14
lg화학,18,1,17,2.714,5.774,21
기아,17,2,15,2.857,5.257,31
qled,3,0,3,0.429,1.554,4
해상도,3,0,3,0.429,1.554,5
hp,3,0,3,0.571,1.383,26
소니,2,0,2,0.286,1.117,10
lcd,2,0,2,0.286,1.117,34
qled,9,3,6,1.714,3.155,13
hp,6,3,3,1.286,2.209,32
인텔,4,0,4,0.714,1.781,26
lcd,3,2,1,0.714,1.239,37
증착기,2,0,2,0.286,1.117,2
선익시스템,2,0,2,0.286,1.117,7
고효율,9,0,9,1.286,3.615,21
태블릿,3,0,3,0.429,1.554,10
샤프,2,0,2,0.286,1.117,2
