term,cur,prev,diff,total,ma7,z_like
lg전자,25,2,23,246,6.286,5.336
tv,18,24,-6,399,9.857,1.967
애플,13,9,4,168,7.714,1.399
디스플레이,11,2,9,197,5.571,1.615
oled,11,15,-4,294,9.429,0.386
삼성전자,10,16,-6,411,9.857,0.035
갤럭시,6,4,2,90,3.429,0.902
아마존,5,0,5,16,1.0,2.0
xr,5,0,5,66,1.714,1.423
구글,5,2,3,48,2.0,1.243
ar,3,5,-2,46,1.571,0.634
vr,3,3,0,26,1.714,0.557
노트북,3,2,1,103,2.857,0.053
에어팟,2,0,2,2,0.286,1.117
스마트폰,2,2,0,82,2.143,-0.058
카카오,2,2,0,42,3.286,-0.457
올레드,1,0,1,10,0.143,0.622
qled,1,0,1,3,0.143,0.622
바이두,1,0,1,1,0.143,0.622
tcl,1,0,1,115,0.286,0.465
선익시스템,1,0,1,22,0.429,0.345
공급망,1,0,1,13,0.429,0.345
sharp,1,0,1,9,0.429,0.345
모바일,1,1,0,29,0.857,0.074
양산,1,0,1,61,1.0,0.0
아이폰,1,1,0,62,1.571,-0.254
폴더블,1,0,1,49,2.429,-0.558
