term,cur,prev,diff,total,ma7,z_like
레노버,13,2,11,79,2.571,4.005
amd,4,0,4,23,0.857,1.632
소니,3,0,3,37,0.429,1.554
아이패드,2,0,2,5,0.286,1.117
양산,4,0,4,87,1.857,0.907
ul,1,0,1,1,0.143,0.622
8k,1,0,1,5,0.143,0.622
모니터,6,1,5,189,4.429,0.506
수율,1,1,0,10,0.286,0.465
샤오미,1,1,0,16,0.286,0.465
고효율,1,1,0,4,0.429,0.345
메타,2,1,1,31,1.286,0.335
갤럭시,3,2,1,101,2.714,0.108
ar,1,0,1,47,0.857,0.074
모바일,1,0,1,64,0.857,0.074
tsmc,1,0,1,11,1.143,-0.069
lg디스플레이,2,1,1,130,2.286,-0.114
구글,1,0,1,75,1.571,-0.254
tcl,1,0,1,63,2.714,-0.648
노트북,4,0,4,152,6.429,-0.687
삼성디스플레이,1,0,1,89,4.286,-1.07
