term,cur,prev,diff,ma7,z_like,total
아이폰,6,2,4,2.714,1.241,79
boe,3,0,3,0.714,1.239,61
sfa,2,0,2,0.286,1.117,2
qled,2,2,0,0.571,0.814,8
노트북,4,1,3,2.143,0.754,96
폴더블,5,1,4,3.143,0.67,100
lg전자,16,22,-6,13.0,0.651,343
고해상도,1,0,1,0.143,0.622,1
생산능력,1,0,1,0.143,0.622,1
선익시스템,1,0,1,0.143,0.622,21
프로아트,1,0,1,0.143,0.622,1
픽셀,1,0,1,0.143,0.622,1
디스플레이,5,3,2,3.286,0.609,181
tsmc,1,0,1,0.286,0.465,21
맥북,1,0,1,0.286,0.465,20
아이패드,1,0,1,0.286,0.465,22
세미파이브,1,1,0,0.286,0.465,10
고성능,1,2,-1,0.429,0.345,21
공급망,1,0,1,0.571,0.244,16
샤오미,1,1,0,0.571,0.244,11
애플,5,5,0,4.571,0.137,176
oled,14,29,-15,13.714,0.061,312
구글,2,1,1,1.857,0.06,66
모바일,2,2,0,2.286,-0.114,65
tv,12,2,10,12.571,-0.126,324
lg디스플레이,7,25,-18,8.0,-0.261,140
스마트폰,1,3,-2,1.857,-0.363,105
엔비디아,1,2,-1,2.429,-0.558,63
xr,1,2,-1,2.857,-0.69,88
모니터,11,11,0,16.143,-1.025,197
삼성디스플레이,1,0,1,4.714,-1.171,89
삼성전자,9,18,-9,23.714,-2.507,427
