term,cur,prev,diff,ma7,z_like,total
lcd,24,9,15,7.429,4.448,71
태블릿,7,0,7,1.286,2.678,18
tcl,6,0,6,1.143,2.348,66
삼성전자,15,3,12,7.286,2.085,401
디스플레이,13,10,3,7.143,1.595,195
lg디스플레이,14,5,9,8.429,1.427,106
올레드,3,1,2,0.571,1.383,10
tv,11,8,3,6.429,1.293,198
퀄컴,9,20,-11,5.286,1.126,47
메타,4,6,-2,2.0,0.828,25
lg전자,9,14,-5,6.143,0.821,291
샤오미,3,3,0,1.286,0.803,49
스마트폰,6,9,-3,3.714,0.781,103
xr,5,4,1,3.0,0.732,92
asus,1,0,1,0.143,0.622,11
미디어텍,1,0,1,0.143,0.622,4
샤프,1,0,1,0.143,0.622,3
수출입,1,0,1,0.143,0.622,1
아마존,1,0,1,0.143,0.622,14
고성능,2,4,-2,0.857,0.593,15
hp,4,1,3,2.571,0.549,43
ar,2,0,2,1.0,0.5,42
게이밍모니터,1,0,1,0.286,0.465,3
알파벳,1,1,0,0.286,0.465,4
oled,15,12,3,13.0,0.434,311
dell,1,1,0,0.429,0.345,14
아이패드,1,1,0,0.429,0.345,11
하이센스,1,1,0,0.429,0.345,14
lg화학,1,0,1,0.571,0.244,29
엔비디아,6,10,-4,5.286,0.217,165
sk하이닉스,3,1,2,2.571,0.165,59
공급망,1,1,0,0.857,0.074,59
노트북,4,8,-4,4.0,0.0,141
모니터,3,5,-2,3.143,-0.052,169
인텔,1,3,-2,1.143,-0.069,29
사이니지,1,0,1,1.571,-0.254,12
amd,1,4,-3,1.857,-0.363,30
구글,2,14,-12,3.286,-0.457,61
boe,1,4,-3,2.143,-0.464,33
애플,2,8,-6,5.714,-1.096,387
아이폰,2,10,-8,7.714,-1.513,275
