term,cur,prev,diff,total,ma7,z_like
애플,24,15,9,150,9.857,3.416
삼성,19,29,-10,485,21.143,-0.383
삼성전자,17,23,-6,265,21.143,-0.74
oled,14,9,5,189,9.286,1.165
sk온,9,0,9,10,1.286,3.615
아이패드,7,5,2,25,2.714,1.619
lg,6,28,-22,341,12.714,-1.471
고성능,5,0,5,15,0.714,2.323
아이폰,5,6,-1,45,3.429,0.551
samsung,3,3,0,9,0.857,1.113
차세대,3,0,3,49,2.143,0.348
폴더블,3,8,-5,52,3.571,-0.198
올레드,2,0,2,7,0.286,1.117
샤프,2,0,2,2,0.286,1.117
sk하이닉스,2,3,-1,32,1.0,0.5
ar,2,3,-1,38,1.571,0.19
갤럭시,2,5,-3,49,3.857,-0.627
amd,1,0,1,7,0.143,0.622
메타버스,1,0,1,3,0.143,0.622
패드,1,0,1,2,0.143,0.622
도우인시스,1,0,1,1,0.143,0.622
저비용,1,0,1,1,0.143,0.622
한화,1,0,1,40,0.286,0.465
샤오미,1,0,1,7,0.286,0.465
lg화학,1,1,0,6,0.286,0.465
가상현실,1,0,1,3,0.286,0.465
sharp,1,0,1,3,0.429,0.345
tsmc,1,5,-4,20,1.143,-0.069
lg디스플레이,1,3,-2,85,1.571,-0.254
게이밍,1,10,-9,29,3.0,-0.732
