term,cur,prev,diff,total,ma7,z_like
벤츠,30,1,29,36,4.571,8.103
레노버,9,0,9,35,1.571,3.296
모바일,6,0,6,19,1.286,2.209
boe,4,2,2,19,1.143,1.381
xr,5,1,4,108,1.857,1.33
공급망,5,0,5,31,2.143,1.16
올레드tv,2,1,1,3,0.429,0.95
현대모비스,5,0,5,28,2.571,0.933
amd,5,1,4,45,2.857,0.797
kaist,1,0,1,3,0.143,0.622
두산로보틱스,1,0,1,2,0.286,0.465
갤럭시,2,1,1,65,1.286,0.335
스마트폰,3,1,2,49,2.286,0.284
구글,1,0,1,30,0.571,0.244
사이니지,1,0,1,5,0.714,0.155
인텔,1,0,1,43,0.714,0.155
ar,2,2,0,28,2.0,0.0
lg디스플레이,1,1,0,82,4.286,-1.07
엔비디아,4,3,1,141,11.857,-1.768
