term,cur,prev,diff,total,ma7,z_like
모니터,17,3,14,134,5.143,3.628
아이폰,9,3,6,63,2.714,2.374
기아,5,0,5,11,1.0,2.0
sk하이닉스,7,3,4,60,2.143,1.971
딥엑스,4,0,4,4,0.571,1.953
boe,4,1,3,39,1.143,1.381
생산량,2,0,2,2,0.286,1.117
노키아,2,0,2,3,0.286,1.117
etri,2,0,2,4,0.286,1.117
저전력,2,0,2,4,0.286,1.117
선익시스템,2,1,1,37,0.429,0.95
양산,2,1,1,27,0.571,0.814
퀄컴,2,0,2,33,0.571,0.814
구글,5,1,4,69,2.857,0.797
게이밍모니터,1,0,1,1,0.143,0.622
apple,1,0,1,2,0.143,0.622
픽셀,1,0,1,7,0.143,0.622
kaist,1,0,1,25,0.143,0.622
현대모비스,3,0,3,20,1.857,0.484
하이센스,1,0,1,9,0.286,0.465
tsmc,1,0,1,12,0.286,0.465
설비투자,1,0,1,14,0.286,0.465
xr,5,2,3,82,3.714,0.439
sharp,1,1,0,9,0.429,0.345
삼성디스플레이,1,0,1,64,0.429,0.345
asus,1,0,1,12,0.571,0.244
lcd,1,1,0,63,0.571,0.244
ar,2,2,0,37,1.571,0.19
lg디스플레이,2,2,0,111,1.571,0.19
알파벳,1,0,1,7,0.714,0.155
jdi,1,0,1,8,1.0,0.0
오포,1,1,0,10,1.0,0.0
hp,2,2,0,52,3.0,-0.366
엔비디아,1,0,1,108,2.286,-0.512
qled,1,1,0,38,5.0,-1.236
tcl,1,0,1,84,5.571,-1.36
