term,cur,prev,diff,total,ma7,z_like
삼성전자,32,3,29,392,11.0,4.865
boe,27,0,27,63,4.714,7.027
모바일,15,0,15,46,2.857,4.514
lcd,12,2,10,36,2.571,3.621
lg전자,11,7,4,281,11.857,-0.193
hp,10,0,10,35,2.286,3.071
현대모비스,10,3,7,66,4.857,1.605
스마트폰,10,1,9,107,7.429,0.69
선익시스템,9,0,9,22,1.571,3.296
tv,9,5,4,203,6.714,0.636
디스플레이,9,13,-4,197,8.0,0.261
oled,8,1,7,285,8.0,0.0
xr,7,1,6,101,3.857,1.06
lg디스플레이,7,0,7,131,4.143,0.941
노트북,5,2,3,101,3.143,0.67
갤럭시,5,0,5,82,5.286,-0.087
sk하이닉스,4,0,4,56,2.286,0.682
폴더블,4,0,4,99,2.857,0.425
애플,4,1,3,204,4.714,-0.225
amd,2,0,2,10,0.286,1.117
태블릿,2,0,2,24,0.571,0.814
엔비디아,2,0,2,115,2.714,-0.27
기아,2,0,2,68,2.857,-0.319
구글,2,8,-6,73,4.286,-0.744
sharp,1,0,1,8,0.143,0.622
저전력,1,0,1,7,0.143,0.622
apple,1,0,1,4,0.143,0.622
qualcomm,1,0,1,1,0.143,0.622
카카오,1,0,1,10,0.286,0.465
미디어텍,1,0,1,3,0.286,0.465
한화시스템,1,0,1,2,0.286,0.465
화웨이,1,0,1,17,0.571,0.244
삼성디스플레이,1,0,1,144,1.714,-0.309
아이폰,1,1,0,65,1.714,-0.309
퀄컴,1,2,-1,38,1.857,-0.363
아이패드,1,0,1,25,2.0,-0.414
모니터,1,4,-3,98,3.0,-0.732
ar,1,4,-3,51,3.0,-0.732
