term,cur,prev,diff,total,ma7,z_like
삼성전자,67,2,65,344,30.857,5.514
lg전자,34,2,32,136,12.857,4.611
아마존,3,0,3,5,0.429,1.554
디스플레이,10,0,10,116,5.714,1.264
kaist,2,0,2,2,0.286,1.117
한화솔루션,2,0,2,3,0.286,1.117
bmw,2,0,2,4,0.286,1.117
lg화학,2,0,2,7,0.429,0.95
tsmc,3,1,2,20,1.143,0.898
모바일,2,1,1,12,0.571,0.814
원익ips,1,0,1,4,0.143,0.622
노트북,3,0,3,19,1.857,0.484
엔비디아,1,0,1,9,0.286,0.465
카카오,1,0,1,11,0.429,0.345
byd,1,0,1,8,0.571,0.244
sk하이닉스,3,1,2,42,2.429,0.223
스마트폰,2,1,1,45,1.571,0.19
sharp,1,0,1,5,0.714,0.155
구글,2,2,0,28,1.714,0.124
tv,7,1,6,75,6.571,0.12
hp,1,0,1,6,0.857,0.074
삼성디스플레이,1,0,1,27,0.857,0.074
애플,13,3,10,175,13.286,-0.062
현대차,1,0,1,30,1.571,-0.254
태블릿,1,0,1,19,1.714,-0.309
갤럭시,3,3,0,58,5.143,-0.656
모니터,2,0,2,47,4.714,-0.856
oled,3,1,2,175,11.0,-1.853
