term,cur,prev,diff,total,ma7,z_like
애플,8,4,4,157,4.571,1.093
삼성전자,8,14,-6,450,14.143,-1.29
tv,4,9,-5,302,8.143,-1.075
sk하이닉스,3,1,2,42,0.857,1.113
스마트폰,3,2,1,108,2.714,0.108
lg전자,3,2,1,305,8.286,-1.363
갤럭시,2,4,-2,84,1.714,0.124
tcl,2,7,-5,33,2.857,-0.319
그램,2,4,-2,23,3.143,-0.412
모니터,2,7,-5,191,5.571,-1.063
oled,2,17,-15,329,17.714,-3.017
고효율,1,0,1,1,0.143,0.622
amd,1,1,0,16,0.286,0.465
선익시스템,1,0,1,13,0.286,0.465
맥북,1,0,1,22,0.429,0.345
sfa,1,0,1,3,0.429,0.345
qled,1,0,1,5,0.714,0.155
boe,1,1,0,57,0.857,0.074
현대모비스,1,1,0,67,1.0,0.0
아이폰,1,1,0,78,2.429,-0.558
모바일,1,1,0,70,2.571,-0.604
lg디스플레이,1,6,-5,140,6.429,-1.535
디스플레이,1,14,-13,208,7.429,-1.726
