term,cur,prev,diff,ma7,z_like,total
byd,2,1,1,0.571,0.814,12
구글,2,2,0,0.857,0.593,74
증착기,1,0,1,0.286,0.465,3
모니터,3,0,3,2.143,0.348,125
bmw,1,0,1,0.429,0.345,7
샤오미,1,1,0,0.429,0.345,12
갤럭시,2,1,1,1.429,0.26,88
선익시스템,1,1,0,0.857,0.074,13
노트북,4,3,1,4.429,-0.138,141
아이폰,2,6,-4,2.714,-0.27,115
화웨이,1,0,1,2.0,-0.414,32
공급망,1,3,-2,2.429,-0.558,40
sk하이닉스,1,0,1,3.0,-0.732,81
xr,2,2,0,4.286,-0.744,121
lg전자,5,3,2,8.0,-0.784,201
폴더블,2,0,2,6.0,-1.16,155
애플,4,5,-1,9.0,-1.25,253
lg디스플레이,3,2,1,9.143,-1.527,137
tv,1,6,-5,7.429,-1.726,366
삼성전자,5,5,0,13.571,-1.83,485
디스플레이,2,2,0,11.571,-2.174,229
oled,4,1,3,16.857,-2.518,327
