term,cur,prev,diff,ma7,z_like,total,date
qled,30,0,30,4.286,8.375,34,2026-03-06
tcl,32,1,31,5.143,8.219,87,2026-03-06
tv,21,11,10,8.0,3.396,302,2026-03-06
엔비디아,8,4,4,3.0,1.83,117,2026-03-06
맥북,8,21,-13,5.857,0.627,64,2026-03-06
비보북,1,0,1,0.143,0.622,1,2026-03-06
생산능력,1,0,1,0.143,0.622,5,2026-03-06
수율,1,0,1,0.143,0.622,6,2026-03-06
아마존,1,0,1,0.143,0.622,17,2026-03-06
퀀텀닷,1,0,1,0.143,0.622,1,2026-03-06
고성능,2,3,-1,1.0,0.5,17,2026-03-06
구글,3,1,2,1.857,0.484,62,2026-03-06
양산,1,0,1,0.286,0.465,37,2026-03-06
올레드,1,0,1,0.286,0.465,5,2026-03-06
모바일,4,5,-1,2.857,0.425,47,2026-03-06
sharp,1,0,1,0.429,0.345,10,2026-03-06
애플,13,25,-12,11.571,0.325,222,2026-03-06
asus,1,1,0,0.571,0.244,11,2026-03-06
메타,1,1,0,0.571,0.244,20,2026-03-06
vr,1,2,-1,0.571,0.244,18,2026-03-06
lg전자,7,7,0,6.286,0.204,211,2026-03-06
lcd,1,0,1,0.714,0.155,64,2026-03-06
공급망,1,2,-1,0.714,0.155,19,2026-03-06
ar,1,3,-2,0.714,0.155,36,2026-03-06
xr,4,5,-1,3.571,0.148,90,2026-03-06
하이센스,1,0,1,0.857,0.074,8,2026-03-06
모니터,5,3,2,5.0,0.0,111,2026-03-06
한미반도체,1,0,1,1.0,0.0,31,2026-03-06
amd,1,1,0,1.143,-0.069,20,2026-03-06
삼성디스플레이,2,0,2,2.714,-0.27,63,2026-03-06
폴더블,1,2,-1,1.714,-0.309,52,2026-03-06
노트북,3,8,-5,4.143,-0.377,111,2026-03-06
스마트폰,4,7,-3,5.571,-0.468,94,2026-03-06
hp,1,15,-14,2.857,-0.69,61,2026-03-06
퀄컴,1,1,0,3.286,-0.813,36,2026-03-06
레노버,1,8,-7,4.286,-1.07,49,2026-03-06
디스플레이,4,13,-9,8.286,-1.105,237,2026-03-06
샤오미,1,1,0,5.143,-1.268,40,2026-03-06
삼성전자,8,11,-3,15.571,-1.531,396,2026-03-06
갤럭시,2,4,-2,9.429,-1.825,227,2026-03-06
oled,2,18,-16,13.571,-2.47,337,2026-03-06
현대모비스,7,0,7,1.0,3.0,21,2026-03-07
lg디스플레이,4,0,4,1.143,1.381,110,2026-03-07
모니터,7,5,2,4.0,1.0,117,2026-03-07
오포,2,0,2,0.571,0.814,7,2026-03-07
갤럭시,12,2,10,9.143,0.71,235,2026-03-07
구글,3,3,0,1.571,0.634,64,2026-03-07
4k,1,0,1,0.143,0.622,3,2026-03-07
bmw,1,0,1,0.143,0.622,5,2026-03-07
설비투자,1,0,1,0.143,0.622,13,2026-03-07
텐센트,1,0,1,0.143,0.622,1,2026-03-07
모바일,5,4,1,3.429,0.551,52,2026-03-07
boe,1,0,1,0.286,0.465,43,2026-03-07
asus,1,1,0,0.429,0.345,12,2026-03-07
벤츠,1,0,1,0.571,0.244,19,2026-03-07
폴더블,2,1,1,1.571,0.19,51,2026-03-07
lcd,1,1,0,0.714,0.155,62,2026-03-07
한미반도체,1,1,0,1.0,0.0,32,2026-03-07
