topic_id,topic_name,momentum_score
92,Topic #92,1.264
97,Topic #97,1.264
64,Topic #64,1.264
10,반도체/디스플레이 주가,1.264
26,Topic #26,1.264
83,Topic #83,0.898
62,Topic #62,0.19
3,프리미엄 TV 시장,0.12
91,Topic #91,0.12
1,LG 시니어 이지 TV,0.12
5,삼성D 기술 유출,0.074
13,"이재용, OLED 현장 방문",0.074
68,Topic #68,0.0
67,Topic #67,0.0
66,Topic #66,0.0
65,Topic #65,0.0
69,Topic #69,0.0
63,Topic #63,0.0
57,Topic #57,0.0
61,Topic #61,0.0
59,Topic #59,0.0
58,Topic #58,0.0
72,Topic #72,0.0
55,Topic #55,0.0
54,Topic #54,0.0
53,Topic #53,0.0
52,Topic #52,0.0
51,Topic #51,0.0
71,Topic #71,0.0
50,Topic #50,0.0
73,Topic #73,0.0
87,Topic #87,0.0
99,Topic #99,0.0
98,Topic #98,0.0
95,Topic #95,0.0
93,Topic #93,0.0
90,Topic #90,0.0
89,Topic #89,0.0
88,Topic #88,0.0
86,Topic #86,0.0
76,Topic #76,0.0
85,Topic #85,0.0
82,Topic #82,0.0
81,Topic #81,0.0
80,Topic #80,0.0
79,Topic #79,0.0
49,Topic #49,0.0
77,Topic #77,0.0
78,Topic #78,0.0
100,Topic #100,0.0
48,Topic #48,0.0
7,게이밍 신작 열전,0.0
15,디스플레이 검사장비,0.0
20,Topic #20,0.0
21,Topic #21,0.0
22,Topic #22,0.0
23,Topic #23,0.0
24,Topic #24,0.0
27,Topic #27,0.0
11,비스포크 AI 청소기,0.0
9,반도체 로봇 부품,0.0
28,Topic #28,0.0
30,Topic #30,0.0
8,폴스타 SUV 전기차 경쟁,0.0
31,Topic #31,0.0
16,Topic #16,0.0
32,Topic #32,0.0
34,Topic #34,0.0
40,Topic #40,0.0
46,Topic #46,0.0
45,Topic #45,0.0
44,Topic #44,0.0
43,Topic #43,0.0
42,Topic #42,0.0
35,Topic #35,0.0
41,Topic #41,0.0
4,토요타-삼성 사이니지,0.0
39,Topic #39,0.0
38,Topic #38,0.0
37,Topic #37,0.0
6,마이크로 RGB TV,0.0
18,Topic #18,0.0
25,Topic #25,-0.062
56,Topic #56,-0.062
29,Topic #29,-0.062
12,갤럭시 폴더블폰,-0.233
0,OLED 디스플레이 경쟁,-0.294
84,Topic #84,-0.294
14,갤럭시 XR과 안드로이드,-0.505
2,갤럭시 히어로 페스타,-0.656
94,Topic #94,-0.742
17,Topic #17,-0.856
47,Topic #47,-0.983
70,Topic #70,-0.983
19,Topic #19,-1.355
74,Topic #74,-1.853
33,Topic #33,-1.853
96,Topic #96,-1.853
36,Topic #36,-1.853
60,Topic #60,-1.853
75,Topic #75,-1.853
