org,topic_0,topic_1,topic_10,topic_100,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_3,topic_30,topic_31,topic_32,topic_33,topic_34,topic_36,topic_37,topic_38,topic_39,topic_4,topic_40,topic_41,topic_42,topic_46,topic_47,topic_48,topic_5,topic_50,topic_51,topic_52,topic_53,topic_55,topic_56,topic_57,topic_58,topic_59,topic_6,topic_60,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_7,topic_70,topic_72,topic_73,topic_74,topic_75,topic_77,topic_78,topic_79,topic_8,topic_81,topic_82,topic_83,topic_84,topic_85,topic_87,topic_88,topic_89,topic_9,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96
Harman,25.65 (0%),,23.04 (0%),,,,,,20.61 (0%),,36.81 (1%),,,,,,,26.73 (0%),,,,,,,,,24.29 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.55 (0%),,,,,,,,,20.76 (2%),,,,,,,,,,,
IEC,32.58 (0%),,29.33 (0%),,,,,,,,,,25.90 (1%),43.94 (1%),,,,,,,29.72 (0%),,,,,,,,,,,,24.11 (1%),,,,,,,,,,,,,,,31.65 (1%),,,,,,,37.56 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,
IEEE,6.93 (0%),,6.28 (0%),,,,,,,,,,5.76 (0%),5.67 (0%),,,,5.63 (0%),,,,,,,,,,,,,,,4.38 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28 (0%),,,,,,,,,5.00 (0%),,,,
IMID,58.22 (0%),,34.21 (0%),44.36 (13%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.94 (1%),,,,,,,,,42.04 (0%),,,,,,,,,38.85 (0%),,,,,,,,29.99 (0%),,,,31.41 (0%)
ITU,31.88 (0%),,19.55 (0%),,,,,,,,,,,,,,,16.18 (0%),,,41.32 (0%),,,,,,,,,,,,,,,,,,15.42 (2%),,,,,,,,,42.44 (1%),,,,,,,20.55 (0%),,,,,,,,,,,,,,16.76 (0%),,,,,,,,,,,,,
Innolux,39.51 (0%),,27.23 (0%),,,,,,,,,,,,,,,28.14 (0%),,,27.55 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.57 (0%),,,,,,,,,32.62 (0%),,,,,,,,,33.81 (0%),,,,,,,,22.85 (0%),,,,
IoT,198.93 (1%),,207.38 (2%),,,,,,,,,,,172.20 (4%),,,,154.05 (2%),,,178.32 (2%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.12 (3%),,,,,,,,,,,,,,150.12 (2%),,,,,,175.15 (2%),,,,,,,
JDI,49.91 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,47.11 (1%),32.67 (1%),,,,,,,,,,,,,,,,,,,,,31.41 (0%),,,,,,,,,,,,37.69 (0%),48.97 (1%),,,,,,,,33.09 (0%),,,,,,,,,,,,39.83 (1%)
KAIST,59.61 (0%),,69.82 (1%),,,,,,,,,,46.76 (1%),,,,,49.24 (1%),,,,,,,,42.91 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.39 (1%),,,,,,49.94 (1%),,,38.55 (0%),,,,
LG디스플레이,1380.75 (8%),,,,,,,,,,,,,,,,,,,,,,,,925.63 (17%),,1177.13 (15%),,,,,,,,,,,,,,,,,,,,,,768.31 (11%),,,,,,,,,,,,1081.54 (10%),1274.65 (15%),,,,,,,,1050.32 (9%),,,,,,,,,,,,1245.53 (16%)
LG전자,1062.59 (6%),1242.87 (31%),,,,,,,,,,,,,,,,,,,1499.81 (16%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663.30 (12%),,,,,,715.47 (6%),,,,,,,,,722.99 (6%),,,,713.12 (31%),,,986.17 (21%),,,,,
LG화학,181.60 (1%),,217.85 (2%),,,,,,,,,,,,,,,161.78 (2%),,,,,,,,,,,,,,,,,213.15 (6%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.81 (1%),,,,,203.28 (3%),,,161.36 (2%),,,151.80 (3%),
MOTIE,,,,,,,,,,,,,0.72 (0%),,,0.75 (0%),,,,,,,0.72 (0%),,,,,,,,,,,,,,,,3.63 (1%),,0.82 (0%),,,,,,,0.72 (0%),,,,,,,,,,,,,,,,,,,,0.72 (0%),,,,,0.96 (0%),,,,,,,,,
MWC,12.48 (0%),,,,6.39 (0%),,,,,,,,,6.38 (0%),,,7.13 (0%),7.03 (0%),,,,6.50 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19 (0%),,,6.52 (0%),,,,,,,,,,,,,,,,,,,,,
Merck,4.85 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,2.94 (0%),,,,,,,5.89 (0%),,,,,9.07 (1%),,,,,,,,,,,,,2.90 (0%),,,,,,,,,3.62 (0%),,,,,,,,,3.60 (0%),,,3.86 (1%),,,,,,,,,
Metaverse,,,,,,,0.87 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79 (0%),,,,,,,,,,,,,,,,,,,,,,0.72 (0%),,,,,,,,,,,,,,,,,,,,,,,,
POSTECH,,,,,,,,,,,,,,,,,,,,,,,,1.70 (0%),,,,,1.78 (0%),,,,1.46 (0%),,,,,,,0.81 (0%),,,,,,,,,,0.82 (0%),,,,,,,,,,,,,,,,1.53 (0%),,,1.40 (0%),,,,,,,0.77 (0%),,,,,,
SEMI,2.08 (0%),,2.09 (0%),,,,,,,,1.47 (0%),,,,,,,,2.16 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17 (0%),,,,,,,,3.49 (0%),1.44 (0%),,,,,,,,2.86 (0%),,,,
SFA,,,2.79 (0%),,,,,4.38 (0%),,,,,,,,,,2.81 (0%),,2.17 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,1.52 (0%),,,,,,1.45 (0%),,,,,,,,,,,,,1.45 (0%),,,,,,,,,,1.41 (0%),,,,,,,
SID,112.29 (1%),,97.75 (1%),,,,,,,,,,,,212.22 (5%),,,,,,,,,,,,89.08 (1%),,,,,,,,,,,,,204.56 (8%),,,,,,,,,,,,,,,,,,,,,77.56 (1%),129.84 (2%),,,,,,,,,,,,,,,,,,,,132.52 (2%)
SK하이닉스,353.51 (2%),,455.25 (4%),,,,,,336.43 (7%),,440.96 (7%),,,,,,,360.14 (4%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.42 (5%),,,,,,376.32 (5%),,,,,,282.67 (6%),
Semiconductor,29.11 (0%),,37.01 (0%),,,,,,,,,,,,,,,35.87 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.75 (0%),,,,,,,,26.53 (0%),21.58 (0%),,,,,30.25 (0%),,,22.13 (0%),,,,
TCL,506.69 (3%),259.95 (6%),,,,,,,,,,,,,,,,,,,532.07 (6%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.13 (4%),,,,,,,,,464.01 (4%),,257.79 (8%),,,,,319.56 (7%),,,,,268.87 (3%)
TSMC,101.89 (1%),,99.85 (1%),,,,,,76.56 (2%),,100.12 (2%),,,,,,,85.11 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.76 (2%),,,,,,90.04 (1%),,,70.68 (1%),,,,
Tianma,64.46 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.02 (1%),,,,,,,,,,,,,,,,,,34.07 (0%),,,,,,,,,64.52 (1%),39.32 (0%),,,,,,,,66.90 (1%),,,,,,,,,,34.87 (1%),,40.60 (1%)
Toray,8.32 (0%),,8.38 (0%),,,,,,,,,,,,,,,9.14 (0%),,,,,,,,,,6.84 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.70 (0%),,,,,,,,,9.35 (0%),,,,,8.44 (0%),,,7.85 (0%),,,,
UDC,22.18 (0%),,17.46 (0%),,,,,,,,,,,,,,,14.77 (0%),,,,,,,,,,,,,,,,16.20 (0%),,,,,,,,,,,,,,,15.32 (0%),,,15.22 (0%),,,,,,,,,19.57 (0%),,,,,,,,,17.27 (0%),,,,,,,,,,,,
UL,56.84 (0%),,35.61 (0%),,,,,,,,,,,,,,,,,,52.92 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,41.01 (1%),,,,31.17 (0%),,,,,,,,,34.80 (0%),,,,,,,,30.02 (0%),35.97 (0%),,,,,,,,,,,,
V2X,63.77 (0%),,53.76 (0%),,,,,,,,,,,,,,,52.76 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.22 (0%),40.81 (0%),,,,,,,40.50 (1%),44.60 (0%),,,,,46.42 (1%),,,,,,,
Visionox,102.59 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,58.16 (1%),66.11 (1%),,,,,,,,,,,,,,,,,,,,,62.05 (1%),,,,,,,,,,,,82.64 (1%),64.55 (1%),,,,,,,,74.10 (1%),,,,,,,,,,,,60.51 (1%)
