term,cur,prev,diff,total,ma7,z_like
fhd,3,0,3,4,0.571,1.383
소니,4,1,3,16,1.143,1.381
lg디스플레이,8,2,6,144,4.857,0.981
롤러블,2,1,1,3,0.429,0.95
구글,3,1,2,44,1.143,0.898
씽크패드,1,0,1,1,0.143,0.622
에어팟,1,0,1,1,0.143,0.622
증착기,1,0,1,1,0.143,0.622
편광판,1,0,1,2,0.143,0.622
마이크로소프트,1,0,1,4,0.143,0.622
sk하이닉스,2,0,2,42,1.286,0.335
선익시스템,1,0,1,16,0.571,0.244
tsmc,1,0,1,18,0.571,0.244
스마트폰,2,1,1,95,1.714,0.124
샤오미,1,0,1,15,0.857,0.074
양산,1,0,1,23,1.0,0.0
xr,1,0,1,68,1.0,0.0
공급망,1,1,0,18,1.286,-0.134
