term,cur,diff,z_like
lg디스플레이,17,15,3.40
레노버,9,9,3.30
oled,28,13,2.87
애플,24,16,2.82
퀄컴,8,5,2.60
hp,6,6,2.50
아이패드,6,6,2.50
공급망,9,8,2.28
맥북,5,5,1.86
