term,cur,prev,diff,total,ma7,z_like
엔비디아,8,5,3,123,6.714,0.358
스마트폰,6,2,4,99,3.714,0.781
폴더블,6,2,4,192,8.571,-0.655
노트북,5,4,1,92,2.857,0.797
갤럭시,5,3,2,168,3.714,0.439
애플,5,10,-5,289,8.286,-0.847
tv,5,5,0,202,10.571,-1.311
lg전자,4,9,-5,282,8.286,-1.105
삼성전자,4,7,-3,354,17.0,-2.538
모바일,3,1,2,22,0.857,1.113
아이폰,3,3,0,79,2.571,0.165
모니터,3,3,0,96,2.857,0.053
구글,3,2,1,93,3.143,-0.052
디스플레이,3,4,-1,169,8.143,-1.335
퀄컴,2,1,1,32,1.0,0.5
ar,2,0,2,65,1.857,0.06
벤츠,2,2,0,28,3.0,-0.366
oled,2,3,-1,288,16.571,-2.874
amd,1,0,1,9,0.143,0.622
lg화학,1,0,1,8,0.143,0.622
asp,1,0,1,1,0.143,0.622
인텔,1,0,1,31,0.571,0.244
kaist,1,0,1,22,0.571,0.244
hp,1,2,-1,38,1.0,0.0
양산,1,1,0,67,1.143,-0.069
sk하이닉스,1,1,0,89,2.143,-0.464
xr,1,1,0,64,2.714,-0.648
삼성디스플레이,1,2,-1,41,4.143,-1.035
