org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,2,4.4635,0.0096,0.6057,4.4635
AMD,4,4.2754,0.0059,0.5802,4.2754
AMD,5,3.4192,0.0060,0.4640,3.4192
AMD,1,1.4251,0.0030,0.1934,1.4251
AMD,3,1.3677,0.0018,0.1856,1.3677
AMD,7,0.7126,0.0011,0.0967,0.7126
ASUS,5,4.1031,0.0073,0.6989,4.1031
ASUS,4,2.8503,0.0039,0.4855,2.8503
ASUS,7,2.1377,0.0034,0.3641,2.1377
ASUS,1,1.4251,0.0030,0.2427,1.4251
ASUS,3,1.3677,0.0018,0.2330,1.3677
ASUS,6,1.0176,0.0119,0.1733,1.0176
BMW,3,2.0515,0.0027,0.7418,2.0515
BMW,5,1.3677,0.0024,0.4945,1.3677
BMW,2,0.7439,0.0016,0.2690,0.7439
BMW,1,0.7126,0.0015,0.2577,0.7126
BMW,4,0.7126,0.0010,0.2577,0.7126
BOE,4,37.0534,0.0508,0.7309,37.0534
BOE,5,22.5669,0.0399,0.4451,22.5669
BOE,7,20.6644,0.0325,0.4076,20.6644
BOE,3,15.0446,0.0195,0.2968,15.0446
BOE,1,4.9880,0.0104,0.0984,4.9880
BOE,2,2.2318,0.0048,0.0440,2.2318
BOE,0,1.9157,0.0073,0.0378,1.9157
BOE,6,1.0176,0.0119,0.0201,1.0176
CES,0,8.6206,0.0330,0.5297,8.6206
CES,7,8.5508,0.0135,0.5254,8.5508
CES,3,8.2061,0.0106,0.5042,8.2061
CES,1,4.2754,0.0089,0.2627,4.2754
CES,4,4.2754,0.0059,0.2627,4.2754
CES,6,3.0529,0.0357,0.1876,3.0529
CES,5,2.0515,0.0036,0.1261,2.0515
CSOT,4,26.3649,0.0362,0.7110,26.3649
CSOT,7,17.1016,0.0269,0.4612,17.1016
CSOT,3,13.6769,0.0177,0.3688,13.6769
CSOT,5,12.9931,0.0230,0.3504,12.9931
CSOT,2,4.4635,0.0096,0.1204,4.4635
CSOT,1,2.8503,0.0059,0.0769,2.8503
CSOT,0,1.9157,0.0073,0.0517,1.9157
HP,4,4.2754,0.0059,0.5841,4.2754
HP,1,3.5628,0.0074,0.4868,3.5628
HP,7,3.5628,0.0056,0.4868,3.5628
HP,3,2.7354,0.0035,0.3737,2.7354
HP,5,1.3677,0.0024,0.1869,1.3677
HP,2,0.7439,0.0016,0.1016,0.7439
Harman,5,3.4192,0.0060,0.6826,3.4192
Harman,6,2.0353,0.0238,0.4063,2.0353
Harman,0,1.9157,0.0073,0.3824,1.9157
Harman,1,1.4251,0.0030,0.2845,1.4251
Harman,4,1.4251,0.0020,0.2845,1.4251
Harman,2,0.7439,0.0016,0.1485,0.7439
Harman,7,0.7126,0.0011,0.1422,0.7126
Harman,3,0.6838,0.0009,0.1365,0.6838
IoT,0,21.0725,0.0806,0.5637,21.0725
IoT,3,18.4638,0.0240,0.4939,18.4638
IoT,1,17.1016,0.0355,0.4575,17.1016
IoT,2,11.9027,0.0256,0.3184,11.9027
IoT,5,8.2061,0.0145,0.2195,8.2061
IoT,4,7.1257,0.0098,0.1906,7.1257
IoT,7,7.1257,0.0112,0.1906,7.1257
IoT,6,3.0529,0.0357,0.0817,3.0529
LG디스플레이,4,66.9811,0.0919,0.5102,66.9811
LG디스플레이,7,57.7178,0.0909,0.4397,57.7178
LG디스플레이,3,57.4430,0.0745,0.4376,57.4430
LG디스플레이,5,48.5530,0.0859,0.3698,48.5530
LG디스플레이,0,44.0606,0.1685,0.3356,44.0606
LG디스플레이,1,35.6283,0.0740,0.2714,35.6283
LG디스플레이,2,19.3419,0.0415,0.1473,19.3419
LG디스플레이,6,13.2294,0.1548,0.1008,13.2294
LG전자,3,45.8176,0.0594,0.4690,45.8176
LG전자,1,42.0414,0.0873,0.4303,42.0414
LG전자,4,40.6162,0.0557,0.4158,40.6162
LG전자,0,33.5244,0.1282,0.3432,33.5244
LG전자,7,32.7780,0.0516,0.3355,32.7780
LG전자,2,32.7325,0.0703,0.3351,32.7325
LG전자,5,27.3538,0.0484,0.2800,27.3538
LG전자,6,3.0529,0.0357,0.0313,3.0529
LG화학,3,6.8384,0.0089,0.5581,6.8384
LG화학,0,4.7892,0.0183,0.3909,4.7892
LG화학,2,4.4635,0.0096,0.3643,4.4635
LG화학,7,4.2754,0.0067,0.3489,4.2754
LG화학,5,4.1031,0.0073,0.3349,4.1031
LG화학,1,3.5628,0.0074,0.2908,3.5628
LG화학,4,3.5628,0.0049,0.2908,3.5628
SID,0,8.6206,0.0330,0.5297,8.6206
SID,7,8.5508,0.0135,0.5254,8.5508
SID,3,8.2061,0.0106,0.5042,8.2061
SID,1,4.2754,0.0089,0.2627,4.2754
SID,4,4.2754,0.0059,0.2627,4.2754
SID,6,3.0529,0.0357,0.1876,3.0529
SID,5,2.0515,0.0036,0.1261,2.0515
SK하이닉스,3,58.8107,0.0763,0.5720,58.8107
SK하이닉스,2,48.3548,0.1038,0.4703,48.3548
SK하이닉스,1,39.9037,0.0828,0.3881,39.9037
SK하이닉스,0,33.5244,0.1282,0.3261,33.5244
SK하이닉스,4,29.9277,0.0411,0.2911,29.9277
SK하이닉스,7,28.5026,0.0449,0.2772,28.5026
SK하이닉스,5,18.4638,0.0326,0.1796,18.4638
SK하이닉스,6,3.0529,0.0357,0.0297,3.0529
Semiconductor,1,2.1377,0.0044,0.6829,2.1377
Semiconductor,3,2.0515,0.0027,0.6554,2.0515
Semiconductor,2,0.7439,0.0016,0.2376,0.7439
Semiconductor,5,0.6838,0.0012,0.2185,0.6838
TCL,4,8.5508,0.0117,0.6919,8.5508
TCL,5,6.1546,0.0109,0.4980,6.1546
TCL,7,4.9880,0.0079,0.4036,4.9880
TCL,3,3.4192,0.0044,0.2767,3.4192
TCL,2,1.4878,0.0032,0.1204,1.4878
TCL,1,1.4251,0.0030,0.1153,1.4251
TCL,0,0.9578,0.0037,0.0775,0.9578
TSMC,4,5.7005,0.0078,0.5192,5.7005
TSMC,3,5.4708,0.0071,0.4982,5.4708
TSMC,1,4.2754,0.0089,0.3894,4.2754
TSMC,7,4.2754,0.0067,0.3894,4.2754
TSMC,5,3.4192,0.0060,0.3114,3.4192
TSMC,2,2.9757,0.0064,0.2710,2.9757
TSMC,6,1.0176,0.0119,0.0927,1.0176
Tianma,4,6.4131,0.0088,0.5258,6.4131
Tianma,3,6.1546,0.0080,0.5046,6.1546
Tianma,7,5.7005,0.0090,0.4674,5.7005
Tianma,2,4.4635,0.0096,0.3659,4.4635
Tianma,5,4.1031,0.0073,0.3364,4.1031
Tianma,1,0.7126,0.0015,0.0584,0.7126
V2X,3,8.8900,0.0115,0.6387,8.8900
V2X,2,7.4392,0.0160,0.5345,7.4392
V2X,1,6.4131,0.0133,0.4607,6.4131
V2X,7,2.8503,0.0045,0.2048,2.8503
V2X,4,2.1377,0.0029,0.1536,2.1377
V2X,0,1.9157,0.0073,0.1376,1.9157
V2X,5,1.3677,0.0024,0.0983,1.3677
Visionox,4,17.1016,0.0235,0.5659,17.1016
Visionox,7,14.2513,0.0224,0.4716,14.2513
Visionox,3,13.6769,0.0177,0.4526,13.6769
Visionox,5,11.6254,0.0206,0.3847,11.6254
Visionox,2,9.6710,0.0208,0.3200,9.6710
Visionox,1,1.4251,0.0030,0.0472,1.4251
구글,3,18.4638,0.0240,0.5124,20.2880
구글,1,16.3890,0.0340,0.4548,18.0082
구글,2,15.6223,0.0335,0.4336,17.1658
구글,5,14.3607,0.0254,0.3985,15.7796
구글,4,10.6885,0.0147,0.2966,11.7445
구글,7,9.9759,0.0157,0.2769,10.9615
구글,6,4.0706,0.0476,0.1130,4.4727
구글,0,2.8735,0.0110,0.0797,3.1574
기아,3,34.1922,0.0444,0.5719,34.1922
기아,2,30.5007,0.0655,0.5102,30.5007
기아,1,24.2272,0.0503,0.4053,24.2272
기아,4,20.6644,0.0283,0.3457,20.6644
기아,7,17.1016,0.0269,0.2861,17.1016
기아,5,10.2577,0.0181,0.1716,10.2577
기아,0,7.6627,0.0293,0.1282,7.6627
기아,6,2.0353,0.0238,0.0340,2.0353
네이버,3,17.7800,0.0231,0.5189,17.7800
네이버,7,16.3890,0.0258,0.4783,16.3890
네이버,1,14.2513,0.0296,0.4159,14.2513
네이버,2,14.1345,0.0304,0.4125,14.1345
네이버,4,11.4010,0.0156,0.3327,11.4010
네이버,5,6.1546,0.0109,0.1796,6.1546
네이버,0,3.8314,0.0147,0.1118,3.8314
네이버,6,2.0353,0.0238,0.0594,2.0353
마이크로소프트,3,4.1031,0.0053,0.6646,4.1031
마이크로소프트,2,2.2318,0.0048,0.3615,2.2318
마이크로소프트,1,2.1377,0.0044,0.3463,2.1377
마이크로소프트,4,2.1377,0.0029,0.3463,2.1377
