term,cur,prev,diff,total,ma7,z_like
삼성전자,32,12,20,543,16.286,3.121
tv,21,53,-32,344,16.571,0.873
모바일,15,1,14,70,3.0,4.392
oled,13,42,-29,374,11.286,0.393
애플,10,7,3,272,8.857,0.287
lg전자,8,60,-52,248,18.571,-1.991
폴더블,6,1,5,107,4.429,0.506
올레드,6,43,-37,72,9.429,-0.842
선익시스템,5,0,5,24,1.429,1.627
구글,3,8,-5,62,2.143,0.348
디스플레이,3,0,3,236,3.571,-0.198
노트북,3,3,0,127,5.0,-0.618
모니터,3,13,-10,171,9.286,-1.553
태블릿,2,0,2,22,0.286,1.117
게이밍모니터,2,0,2,5,0.286,1.117
8k,2,0,2,2,0.286,1.117
hp,2,0,2,32,0.571,0.814
lcd,2,7,-5,39,2.286,-0.114
xr,2,4,-2,116,2.714,-0.27
설비투자,1,0,1,5,0.143,0.622
한화시스템,1,0,1,5,0.143,0.622
sharp,1,0,1,11,0.286,0.465
google,1,1,0,3,0.286,0.465
boe,1,1,0,19,0.571,0.244
공급망,1,2,-1,37,1.0,0.0
고성능,1,1,0,20,1.0,0.0
맥북,1,1,0,94,1.286,-0.134
엔비디아,1,1,0,179,1.429,-0.195
갤럭시,1,0,1,178,2.571,-0.604
레노버,1,6,-5,91,2.857,-0.69
sk하이닉스,1,3,-2,75,3.571,-0.89
아이폰,1,2,-1,106,4.429,-1.104
삼성디스플레이,1,18,-17,99,5.286,-1.299
