term,cur,prev,diff,ma7,z_like,total
모바일,15,1,14,3.0,4.392,70
삼성전자,32,12,20,16.286,3.121,543
선익시스템,5,0,5,1.429,1.627,24
8k,2,0,2,0.286,1.117,2
게이밍모니터,2,0,2,0.286,1.117,5
태블릿,2,0,2,0.286,1.117,22
tv,21,53,-32,16.571,0.873,344
hp,2,0,2,0.571,0.814,32
설비투자,1,0,1,0.143,0.622,5
한화시스템,1,0,1,0.143,0.622,5
폴더블,6,1,5,4.429,0.506,107
sharp,1,0,1,0.286,0.465,11
google,1,1,0,0.286,0.465,3
oled,13,42,-29,11.286,0.393,374
구글,3,8,-5,2.143,0.348,62
애플,10,7,3,8.857,0.287,272
boe,1,1,0,0.571,0.244,19
고성능,1,1,0,1.0,0.0,20
공급망,1,2,-1,1.0,0.0,37
lcd,2,7,-5,2.286,-0.114,39
맥북,1,1,0,1.286,-0.134,94
엔비디아,1,1,0,1.429,-0.195,179
디스플레이,3,0,3,3.571,-0.198,236
xr,2,4,-2,2.714,-0.27,116
갤럭시,1,0,1,2.571,-0.604,178
노트북,3,3,0,5.0,-0.618,127
레노버,1,6,-5,2.857,-0.69,91
올레드,6,43,-37,9.429,-0.842,72
sk하이닉스,1,3,-2,3.571,-0.89,75
아이폰,1,2,-1,4.429,-1.104,106
삼성디스플레이,1,18,-17,5.286,-1.299,99
모니터,3,13,-10,9.286,-1.553,171
lg전자,8,60,-52,18.571,-1.991,248
