semantic_key,monthly_avg_sentiment
Apple_Display_Topic,0.5036
Automotive_Display_Topic,0.5101
Display_Materials_Topic,0.5014
Equipment_Maker,0.4738
Flexible_Display_Topic,0.5089
Foldable_Display_Topic,0.5156
Gaming_Monitor_Topic,0.5062
IT_OLED_Topic,0.5253
Material_Supplier,0.4780
MicroLED_Topic,0.5508
OLED_Topic,0.4833
Panel_Manufacturer,0.5151
Platform_Company,0.5389
Quantum_Dot_Topic,0.5039
Set_Manufacturer,0.5097
Smartphone_Display_Topic,0.5009
TV_Display_Topic,0.5059
Transparent_Display_Topic,0.4918
XR_Device_Topic,0.5252
