term,cur,diff,z_like
삼성,45,39,7.66
lg,25,25,5.78
lg전자,25,24,5.60
삼성전자,33,22,4.70
애플,15,14,4.06
oled,15,10,3.49
맥북,6,6,2.50
현대차,6,6,2.50
갤럭시,5,5,2.00
아이폰,4,2,1.63
