term,cur,prev,diff,ma7,z_like,total
아이패드,6,1,5,3.143,1.03,24
구글,2,0,2,0.857,0.593,46
스마트폰,4,2,2,2.714,0.486,71
ar,3,2,1,1.857,0.484,41
csot,1,0,1,0.286,0.465,5
고성능,1,0,1,0.286,0.465,14
태블릿,1,0,1,0.286,0.465,14
노트북,5,2,3,3.857,0.386,112
애플,17,21,-4,16.143,0.171,265
인텔,1,0,1,0.714,0.155,52
사이니지,1,0,1,1.0,0.0,9
맥북,3,3,0,3.0,0.0,37
byd,1,1,0,1.0,0.0,17
모바일,1,1,0,1.0,0.0,27
갤럭시,1,1,0,1.286,-0.134,45
공급망,1,0,1,2.286,-0.512,50
레노버,1,0,1,2.571,-0.604,74
아이폰,1,0,1,2.714,-0.648,69
엔비디아,1,1,0,3.286,-0.813,225
xr,1,3,-2,3.429,-0.852,148
모니터,2,1,1,5.0,-0.927,76
폴더블,1,0,1,3.857,-0.964,86
디스플레이,3,2,1,6.571,-1.002,167
sk하이닉스,1,2,-1,4.286,-1.07,77
lg디스플레이,2,1,1,6.429,-1.253,113
삼성전자,2,3,-1,8.571,-1.673,387
tv,3,4,-1,11.429,-1.924,285
lg전자,4,5,-1,13.714,-2.065,296
oled,4,2,2,13.857,-2.087,279
