org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
-OLED,5,4,2,2,3,2,1,6,2,3,5,7,4,4
...정부,3,1,3,4,0,0,0,3,2,2,4,0,1,1
0.03ms,3,2,3,3,2,9,1,3,3,4,4,4,3,2
000m2,4,2,4,6,4,0,2,1,7,6,6,2,3,2
10년간,6,5,2,3,2,1,1,8,2,4,6,3,2,2
11만5000원으로,2,4,2,4,1,0,2,4,1,5,3,3,2,4
12월까지,0,0,1,0,0,0,0,1,0,0,2,0,0,0
13개,2,3,2,2,2,0,4,2,2,2,2,2,3,10
13개사,1,1,1,2,1,0,2,1,1,1,1,1,1,5
152번,1,2,0,0,0,0,0,3,0,2,1,1,2,1
1541억원,3,6,1,2,2,1,2,3,2,3,5,4,3,6
17시48분,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1개월,3,6,1,2,2,1,2,3,2,3,5,4,3,6
1년만에,3,6,1,2,2,1,2,3,2,3,5,4,3,6
1루수,0,0,0,0,0,0,5,0,0,0,1,0,0,0
1분기부터,4,5,2,2,4,2,2,2,3,4,3,3,4,2
1위를,2,1,0,2,0,0,6,1,0,1,2,0,3,0
1위에,2,1,0,2,0,0,1,1,0,1,1,0,3,0
200만,4,3,1,4,2,5,2,2,5,3,4,3,6,2
2025년09월30일,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2030년에는,3,4,3,5,7,1,2,3,3,7,4,2,2,2
24GB,3,2,2,5,3,7,1,0,3,7,3,1,6,1
2560x1440,3,2,3,3,2,9,1,3,3,4,4,4,3,2
2o,1,1,0,1,1,1,0,1,2,1,1,1,0,0
2루수,0,0,0,0,0,0,5,0,0,0,1,0,0,0
2위는,2,1,0,2,0,0,1,1,0,1,1,0,3,0
2차전지,4,6,4,4,3,2,0,4,5,3,8,4,2,3
300은,2,0,6,2,5,0,0,1,2,2,1,0,1,1
3539억원,7,3,4,5,1,1,4,6,2,4,7,2,4,3
3D,3,1,2,4,1,7,0,2,3,5,3,2,4,3
3루수,0,0,0,0,0,0,5,0,0,0,1,0,0,0
3분기에,7,5,2,5,3,1,2,9,2,5,7,4,4,2
3사,11,7,7,12,3,4,4,8,8,10,13,6,9,6
3시간,8,6,4,8,3,4,4,5,6,8,9,6,8,5
3열,4,5,4,3,3,6,1,4,5,3,5,2,6,3
3위는,2,1,0,2,0,0,1,1,0,1,1,0,3,0
455QA,4,3,1,5,4,3,1,3,5,6,3,2,3,0
455QA는,3,2,1,5,5,2,1,3,3,5,3,3,3,0
48GB,3,2,2,5,3,7,1,0,3,7,3,1,6,1
4K,4,3,1,3,3,11,2,3,6,6,5,3,4,0
5000D,3,2,2,5,3,7,1,0,3,7,3,1,6,1
500니트,1,1,0,0,1,1,0,1,1,1,1,2,1,0
50만원으로,2,4,2,4,1,0,2,4,1,5,3,3,2,4
5는,4,5,4,3,3,6,1,4,5,3,5,2,6,3
6.5인치,6,6,2,6,2,1,1,2,2,8,5,4,6,5
65조,3,6,1,2,2,1,2,3,2,3,5,4,3,6
7개,0,0,1,0,0,0,0,1,0,0,2,0,0,0
7연패,0,0,0,0,0,0,3,0,0,0,1,0,0,0
8.6G,5,8,1,3,4,1,2,2,3,3,5,6,3,1
8.6세대,20,26,3,13,11,6,2,17,10,13,18,20,11,5
8개,2,3,0,1,0,0,1,2,0,1,4,3,0,4
8세대급,9,16,2,7,6,2,0,4,5,5,7,14,7,2
9개,5,3,2,3,4,2,3,8,3,4,8,4,3,3
AI와,3,0,3,3,0,0,2,1,1,5,3,1,3,2
AI폰,6,6,2,6,2,1,1,2,2,8,5,4,6,5
AMD,1,1,0,1,1,1,0,1,2,1,1,1,0,0
AOI,4,6,4,4,3,2,0,4,5,3,8,4,2,3
APEC,9,7,2,11,3,1,2,3,2,9,7,4,9,5
APEC서,6,6,2,6,2,1,1,2,2,8,5,4,6,5
AP시스템,14,24,3,11,10,3,0,6,7,9,11,20,10,3
AP시스템은,10,16,2,7,8,2,2,4,5,7,9,12,6,2
AP시스템의,4,8,1,3,3,1,0,2,3,2,3,7,3,1
AP시스템이,5,8,1,4,3,1,0,2,2,3,4,7,4,1
AR+AI,4,3,2,5,2,0,1,3,4,7,3,1,4,2
ARGB,3,2,2,5,3,7,1,0,3,7,3,1,6,1
AR스마트글래스,4,3,2,5,2,0,1,3,4,7,3,1,4,2
AR스마트글래스가,4,3,2,5,2,0,1,3,4,7,3,1,4,2
AR스마트글래스의,4,3,2,5,2,0,1,3,4,7,3,1,4,2
ASUS,6,4,5,8,5,16,2,3,6,11,7,5,9,3
ASV,5,2,3,1,0,0,1,1,1,2,5,1,0,1
AX,20,14,8,16,10,7,9,22,11,17,24,14,15,10
Alt,3,2,1,2,2,10,2,2,4,5,4,2,4,0
America,3,3,3,4,5,0,0,1,6,4,5,1,2,4
Aura,3,2,3,3,2,9,1,3,3,4,4,4,3,2
A주,7,5,2,4,4,1,1,3,5,3,5,2,5,0
B12,5,6,1,3,2,2,0,4,3,3,4,5,3,0
B2B,9,5,6,9,8,2,5,9,10,10,14,6,6,5
BMW,8,10,4,4,8,4,4,4,6,8,6,6,8,4
BOE,18,16,2,8,9,5,1,11,7,10,16,11,7,2
BOE가,5,4,2,2,3,2,1,6,2,3,5,7,4,4
BOE는,8,5,1,3,5,1,0,1,2,3,6,2,2,0
BOE의,13,9,3,5,8,3,1,7,4,6,11,9,6,4
BTS,2,2,1,3,1,0,1,1,1,2,3,0,1,1
BYD,12,12,6,10,5,3,4,5,8,13,9,6,12,5
BenQ,3,2,1,2,2,10,2,2,4,5,4,2,4,0
CBC뉴스,2,1,1,2,0,0,1,2,1,2,1,0,4,0
CCC,8,6,4,7,3,3,2,4,5,8,5,4,9,2
CEO,16,10,6,16,8,6,8,14,9,13,19,10,14,8
CES,6,5,1,4,2,2,1,7,3,3,5,3,3,1
CGV,0,0,1,2,0,1,8,0,3,2,4,1,0,0
CGV와,0,0,1,1,0,0,4,0,2,1,2,1,0,0
CJ,0,0,1,2,0,1,8,0,3,2,4,1,0,0
CJ그룹은,4,5,4,3,3,6,1,4,5,3,5,2,6,3
CLENOX는,1,0,8,2,3,0,2,1,1,1,0,0,1,0
CR리츠,5,3,4,8,2,4,7,5,4,7,6,2,3,5
CSOT,10,13,1,5,6,3,3,8,5,7,11,10,5,3
CTO,5,3,2,3,4,2,3,8,3,4,8,4,3,3
Center,3,3,3,4,5,0,0,1,6,4,5,1,2,4
Chemical,2,2,0,2,3,2,1,0,3,3,3,2,1,1
Copyright,9,5,5,7,3,2,1,5,5,5,10,2,7,3
Cs+,2,2,0,2,3,2,1,0,3,3,3,2,1,1
DB가,0,0,1,1,0,1,8,0,0,1,1,0,0,0
DB그룹,3,1,2,4,1,7,0,2,3,5,3,2,4,3
DB의,0,0,1,1,0,1,8,0,0,1,1,0,0,0
DCI-P3,3,2,1,2,2,10,2,2,4,5,4,2,4,0
DDIC,6,5,1,3,4,3,0,3,5,5,6,4,3,3
DDR5,3,2,2,5,3,7,1,0,3,7,3,1,6,1
DIVE,7,4,3,8,3,12,2,4,8,8,7,5,10,5
DP,3,2,1,2,2,10,2,2,4,5,4,2,4,0
DRAM,2,4,2,4,1,0,2,4,1,5,3,3,2,4
DS,4,5,2,6,2,2,1,6,5,6,7,7,5,4
DX,4,5,2,6,2,2,1,6,5,6,7,7,5,4
D램,1,3,1,3,0,0,1,3,0,3,1,3,1,4
E-ONG,7,5,2,4,4,1,1,3,5,3,5,2,5,0
E-ONG의,7,5,2,4,4,1,1,3,5,3,5,2,5,0
EG110,6,6,2,6,2,9,3,5,11,10,4,3,6,0
EGM,6,6,2,6,2,9,3,5,11,10,4,3,6,0
ELA,19,32,4,14,14,4,2,8,10,12,16,26,13,4
ELITE,3,2,2,5,3,7,1,0,3,7,3,1,6,1
ENM,0,0,1,1,0,0,4,0,2,1,2,1,0,0
ESG,20,10,13,18,8,3,7,12,14,15,23,6,14,8
ETF,5,3,4,9,2,4,7,6,4,7,6,2,3,5
ETN,5,3,4,8,2,4,7,5,4,7,6,2,3,5
EV,8,10,4,4,8,4,4,4,6,8,6,6,8,4
EV9은,4,5,4,3,3,6,1,4,5,3,5,2,6,3
EVA,2,2,2,2,2,0,8,2,2,2,2,2,3,11
EVA는,8,8,7,8,4,0,12,5,4,8,8,8,6,23
Electronics,3,3,3,4,5,0,0,1,6,4,5,1,2,4
FD125와,6,6,2,6,2,9,3,5,11,10,4,3,6,0
G03-8236672469,2,3,0,2,1,0,2,2,0,2,6,2,0,2
GV90은,8,10,4,4,8,4,4,4,6,8,6,6,8,4
GV90의,8,10,4,4,8,4,4,4,6,8,6,6,8,4
H170i,3,2,2,5,3,7,1,0,3,7,3,1,6,1
HATCI,3,3,3,4,5,0,0,1,6,4,5,1,2,4
HBM,8,12,7,10,2,0,5,9,2,13,9,11,6,15
HDMI,6,4,4,5,4,19,3,5,7,9,8,6,7,2
HDR,3,2,1,2,2,10,2,2,4,5,4,2,4,0
HD현대일렉트릭,3,6,1,2,2,1,2,3,2,3,5,4,3,6
HERO,3,2,2,5,3,7,1,0,3,7,3,1,6,1
HJ중공업,4,5,2,6,2,2,1,6,5,6,7,7,5,4
HS연구센터,3,0,3,3,0,0,2,1,1,5,3,1,3,2
HUD,6,5,3,12,9,5,2,7,8,10,6,5,7,0
Harman,4,5,2,6,2,2,1,6,5,6,7,7,5,4
He,4,1,6,7,3,1,2,0,3,5,7,2,4,0
Hyundai,3,3,3,4,5,0,0,1,6,4,5,1,2,4
ICT,12,6,6,8,5,3,7,14,5,8,15,6,7,6
IP,9,6,3,7,6,7,5,10,8,7,12,7,9,5
IT,19,16,9,15,6,6,7,14,10,16,19,14,14,13
IT용,6,5,1,4,2,2,1,7,3,3,5,3,3,1
IWB-F86N1,6,6,2,6,2,9,3,5,11,10,4,3,6,0
