term,cur,prev,diff,total,ma7,z_like
샤오미,8,1,7,15,1.286,3.146
tv,6,5,1,114,6.571,-0.16
현대차,5,2,3,42,3.429,0.551
디스플레이,5,0,5,102,5.571,-0.17
엔비디아,5,17,-12,126,16.714,-2.302
노트북,4,1,3,39,3.143,0.309
lg전자,3,1,2,163,7.857,-1.277
삼성전자,3,4,-1,410,16.429,-2.657
공급망,2,0,2,25,2.286,-0.114
스마트폰,2,1,1,46,2.429,-0.168
삼성디스플레이,2,0,2,32,3.143,-0.412
lg디스플레이,2,0,2,79,7.714,-1.513
고효율,1,0,1,5,0.143,0.622
host,1,0,1,1,0.143,0.622
오포,1,0,1,1,0.143,0.622
기아,1,0,1,8,0.714,0.155
폴더블,1,0,1,52,0.857,0.074
ar,1,3,-2,20,0.857,0.074
올레드,1,0,1,10,0.857,0.074
아이폰,1,0,1,51,1.143,-0.069
구글,1,2,-1,34,1.143,-0.069
모니터,1,3,-2,52,1.714,-0.309
amd,1,2,-1,38,2.143,-0.464
갤럭시,1,2,-1,62,2.857,-0.69
인텔,1,1,0,40,4.714,-1.171
애플,1,4,-3,170,5.0,-1.236
