term,cur,prev,diff,ma7,z_like,total
알파벳,5,3,2,1.571,1.521,15
인텔,3,0,3,0.857,1.113,32
맥북,3,2,1,0.857,1.113,36
amd,3,1,2,1.0,1.0,16
고성능,2,0,2,0.429,0.95,9
태블릿,2,0,2,0.429,0.95,11
아이맥,2,1,1,0.429,0.95,3
amd,11,3,8,2.571,3.237,27
양산,3,0,3,0.571,1.383,28
apple,2,0,2,0.286,1.117,5
메타,4,1,3,1.429,1.171,27
잉크젯,3,0,3,0.429,1.554,6
벤큐,3,0,3,0.429,1.554,13
아이패드,3,0,3,0.429,1.554,21
마이크로소프트,2,0,2,0.286,1.117,2
화웨이,2,0,2,0.429,0.95,6
아마존,2,1,1,0.429,0.95,8
tsmc,2,1,1,0.429,0.95,17
lcd,4,0,4,0.857,1.632,17
비디오월,2,0,2,0.286,1.117,2
tsmc,5,2,3,1.429,1.627,24
ltps,3,0,3,0.429,1.554,4
그램,2,0,2,0.286,1.117,3
스마트워치,2,1,1,0.429,0.95,4
