org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,377.22 (1%),413.64 (1%),,188.67 (3%),68.88 (1%),,110.90 (2%),55.41 (2%),,95.56 (2%),118.97 (4%)
ASE,20.61 (0%),26.80 (0%),3.01 (0%),6.41 (0%),,5.12 (0%),7.62 (0%),2.96 (0%),,,3.01 (0%)
ASUS,141.54 (1%),183.46 (1%),,62.65 (1%),21.75 (0%),,47.83 (1%),14.78 (0%),,21.55 (1%),67.01 (2%)
AUO,61.15 (0%),70.77 (0%),,6.41 (0%),10.88 (0%),,9.70 (0%),5.17 (0%),5.06 (0%),8.62 (0%),
Acer,85.89 (0%),108.56 (0%),,18.51 (0%),11.60 (0%),,12.48 (0%),12.56 (0%),,7.90 (0%),26.35 (1%)
Amkor,6.87 (0%),9.62 (0%),1.51 (0%),1.42 (0%),,,2.08 (0%),0.74 (0%),,2.16 (0%),
Apple,69.40 (0%),73.52 (0%),,19.22 (0%),21.75 (0%),,11.09 (0%),,12.64 (1%),16.52 (0%),15.06 (0%)
BMW,154.60 (1%),206.13 (1%),,45.57 (1%),37.71 (1%),152.23 (5%),54.07 (1%),,,51.73 (1%),31.62 (1%)
BOE,1042.34 (4%),978.44 (3%),52.71 (2%),85.43 (1%),111.67 (2%),,122.69 (2%),107.86 (3%),,104.90 (3%),
BYD,163.53 (1%),191.02 (1%),18.82 (1%),,18.85 (0%),107.58 (4%),47.83 (1%),,,24.43 (1%),31.62 (1%)
Bosch,2.06 (0%),3.44 (0%),,,2.18 (0%),,0.69 (0%),,,,0.75 (0%)
CSOT,542.81 (2%),508.46 (2%),18.82 (1%),51.97 (1%),78.31 (1%),,51.29 (1%),59.84 (2%),,53.17 (1%),
Continental,7.56 (0%),8.25 (0%),1.51 (0%),,2.18 (0%),3.66 (0%),2.08 (0%),1.48 (0%),,2.16 (0%),
Corning,5.50 (0%),7.56 (0%),,0.71 (0%),1.45 (0%),,,,0.84 (0%),0.72 (0%),
Dell,185.52 (1%),226.74 (1%),,32.04 (0%),41.33 (1%),,51.29 (1%),,22.75 (2%),24.43 (1%),35.39 (1%)
ETRI,66.65 (0%),105.81 (0%),7.53 (0%),7.12 (0%),8.70 (0%),,35.35 (1%),,,6.47 (0%),6.02 (0%)
HP,255.60 (1%),306.45 (1%),,131.00 (2%),34.08 (1%),,54.07 (1%),36.20 (1%),,46.70 (1%),76.05 (2%)
Harman,52.22 (0%),56.34 (0%),,8.54 (0%),,6.59 (0%),6.24 (0%),20.69 (1%),,15.81 (0%),4.52 (0%)
Innolux,41.91 (0%),49.47 (0%),,4.27 (0%),7.25 (0%),9.51 (0%),11.78 (0%),,5.90 (0%),7.90 (0%),
JDI,74.21 (0%),67.34 (0%),,9.26 (0%),10.15 (0%),,7.62 (0%),23.64 (1%),5.90 (0%),10.78 (0%),
KAIST,103.07 (0%),161.47 (1%),,14.95 (0%),24.65 (0%),25.62 (1%),40.20 (1%),,,20.84 (1%),11.29 (0%)
LG디스플레이,1675.85 (6%),1762.42 (6%),195.77 (8%),205.76 (3%),274.81 (5%),,236.36 (4%),287.38 (8%),,170.28 (4%),
LG전자,1888.85 (7%),2113.53 (7%),236.43 (9%),727.62 (10%),1543.01 (26%),,366.67 (7%),,,300.32 (7%),369.71 (12%)
LG화학,327.75 (1%),394.40 (1%),138.55 (5%),,72.51 (1%),79.04 (3%),107.44 (2%),55.41 (2%),,66.10 (2%),
Magna,0.69 (0%),0.69 (0%),,,2.18 (0%),0.73 (0%),0.69 (0%),0.74 (0%),,0.72 (0%),
Merck,9.62 (0%),15.12 (0%),,2.14 (0%),2.18 (0%),,4.16 (0%),,1.69 (0%),2.16 (0%),1.51 (0%)
Nitto,2.06 (0%),2.75 (0%),,,,,0.69 (0%),,,,
POSTECH,0.69 (0%),2.06 (0%),0.75 (0%),,,0.73 (0%),2.77 (0%),,,1.44 (0%),0.75 (0%)
SFA,2.06 (0%),2.75 (0%),,2.14 (0%),,,0.69 (0%),1.48 (0%),,2.87 (0%),
SK하이닉스,793.61 (3%),1041.65 (4%),112.94 (4%),180.84 (2%),102.96 (2%),,211.41 (4%),145.54 (4%),,146.57 (4%),
TCL,661.68 (3%),654.81 (2%),,99.67 (1%),298.02 (5%),,67.24 (1%),78.31 (2%),,77.59 (2%),44.42 (1%)
TSMC,167.65 (1%),217.81 (1%),33.13 (1%),29.19 (0%),,20.49 (1%),61.00 (1%),22.90 (1%),,38.80 (1%),
Tianma,63.90 (0%),71.46 (0%),,4.98 (0%),6.53 (0%),2.93 (0%),10.40 (0%),5.91 (0%),2.53 (0%),,
Toray,8.93 (0%),10.31 (0%),0.75 (0%),2.85 (0%),,2.20 (0%),3.47 (0%),0.74 (0%),,,0.75 (0%)
UDC,28.86 (0%),32.98 (0%),,2.14 (0%),2.90 (0%),2.20 (0%),4.16 (0%),,,2.87 (0%),2.26 (0%)
UL,88.64 (0%),91.38 (0%),,16.37 (0%),28.28 (0%),6.59 (0%),10.40 (0%),,8.43 (1%),16.52 (0%),
