term,cur,prev,diff,ma7,z_like,total
벤츠,30,1,29,4.571,8.103,36
레노버,9,0,9,1.571,3.296,35
lg전자,24,7,17,11.286,2.917,196
올레드,9,5,4,2.286,2.673,25
모바일,6,0,6,1.286,2.209,19
tv,19,15,4,11.0,1.853,167
boe,4,2,2,1.143,1.381,19
xr,5,1,4,1.857,1.33,108
삼성전자,29,24,5,21.571,1.316,511
공급망,5,0,5,2.143,1.16,31
올레드tv,2,1,1,0.429,0.95,3
현대모비스,5,0,5,2.571,0.933,28
퀄컴,4,9,-5,2.0,0.828,32
amd,5,1,4,2.857,0.797,45
kaist,1,0,1,0.143,0.622,3
두산로보틱스,1,0,1,0.286,0.465,2
갤럭시,2,1,1,1.286,0.335,65
스마트폰,3,1,2,2.286,0.284,49
맥북,4,15,-11,3.286,0.254,34
구글,1,0,1,0.571,0.244,30
폴더블,2,4,-2,1.571,0.19,56
사이니지,1,0,1,0.714,0.155,5
인텔,1,0,1,0.714,0.155,43
ar,2,2,0,2.0,0.0,28
노트북,5,7,-2,5.0,0.0,60
모니터,6,4,2,6.286,-0.081,82
디스플레이,4,6,-2,4.714,-0.225,113
애플,10,29,-19,11.0,-0.232,203
아이폰,1,8,-7,2.857,-0.69,59
lg디스플레이,1,1,0,4.286,-1.07,82
oled,2,9,-7,8.429,-1.647,214
엔비디아,4,3,1,11.857,-1.768,141
