term,cur,diff,z_like
엔비디아,20,15,5.33
모니터,18,17,4.88
oled,31,28,3.77
설비투자,7,7,2.83
노트북,12,8,2.37
kaist,5,5,2.32
디스플레이,20,9,1.52
