term,cur,prev,diff,ma7,z_like,total,date
올레드,11,0,11,1.571,4.184,47,2026-06-19
인텔,7,1,6,1.857,2.177,55,2026-06-19
모니터,5,0,5,1.429,1.627,160,2026-06-19
애플,12,14,-2,6.714,1.472,175,2026-06-19
모바일,4,0,4,1.143,1.381,27,2026-06-19
lg전자,12,4,8,7.143,1.323,269,2026-06-19
양산,3,3,0,0.857,1.113,49,2026-06-19
갤럭시,4,2,2,1.571,1.078,51,2026-06-19
디스플레이,10,15,-5,6.429,1.01,177,2026-06-19
sk하이닉스,4,3,1,1.857,0.907,53,2026-06-19
ar,4,3,1,2.0,0.828,32,2026-06-19
노트북,7,6,1,4.429,0.828,116,2026-06-19
asus,1,0,1,0.143,0.622,11,2026-06-19
fhd,1,0,1,0.143,0.622,2,2026-06-19
hud,1,0,1,0.143,0.622,2,2026-06-19
게이밍모니터,1,0,1,0.143,0.622,13,2026-06-19
고효율,1,0,1,0.143,0.622,2,2026-06-19
올레드tv,1,0,1,0.143,0.622,3,2026-06-19
울트라와이드,1,0,1,0.143,0.622,1,2026-06-19
저비용,1,0,1,0.143,0.622,1,2026-06-19
bmw,2,1,1,0.857,0.593,14,2026-06-19
구글,3,2,1,1.857,0.484,83,2026-06-19
비보,1,0,1,0.286,0.465,5,2026-06-19
벤큐,1,0,1,0.429,0.345,6,2026-06-19
화웨이,1,0,1,0.429,0.345,15,2026-06-19
tcl,2,3,-1,1.286,0.335,27,2026-06-19
카카오,1,0,1,0.571,0.244,15,2026-06-19
xr,10,38,-28,9.143,0.213,151,2026-06-19
lcd,1,0,1,0.714,0.155,10,2026-06-19
tsmc,1,0,1,0.857,0.074,19,2026-06-19
tv,13,14,-1,12.714,0.063,277,2026-06-19
스마트폰,3,4,-1,2.857,0.053,82,2026-06-19
퀄컴,1,5,-4,1.0,0.0,45,2026-06-19
아이폰,2,8,-6,2.429,-0.168,53,2026-06-19
공급망,1,2,-1,1.429,-0.195,46,2026-06-19
