term,cur,diff,z_like
tv,40,37,7.43
tcl,16,16,5.46
lcd,16,16,5.16
삼성전자,40,23,4.71
벤츠,12,12,4.14
한미반도체,9,9,3.62
카카오,7,7,2.83
oled,16,5,1.66
