term,cur,prev,diff,total,ma7,z_like
oled,35,36,-1,327,14.429,4.287
디스플레이,19,14,5,264,9.714,2.256
갤럭시,15,11,4,149,10.286,1.121
삼성전자,14,25,-11,347,12.143,0.414
lg전자,9,7,2,299,9.429,-0.105
xr,7,11,-4,103,4.429,0.828
lg디스플레이,6,2,4,102,1.429,2.082
etri,5,0,5,14,0.714,2.323
tv,5,11,-6,181,4.571,0.137
폴더블,5,6,-1,180,6.857,-0.513
구글,4,1,3,41,1.857,0.907
sk하이닉스,4,5,-1,135,2.429,0.614
저전력,3,0,3,3,0.429,1.554
kaist,3,4,-1,26,1.0,1.0
애플,3,5,-2,341,8.714,-1.446
boe,2,0,2,27,0.286,1.117
올레드,2,1,1,25,0.429,0.95
sharp,2,3,-1,28,1.143,0.414
ar,2,0,2,42,1.429,0.26
스마트폰,2,2,0,106,3.429,-0.501
오포,1,0,1,6,0.143,0.622
고효율,1,0,1,4,0.143,0.622
google,1,0,1,1,0.143,0.622
소니,1,0,1,5,0.286,0.465
메타,1,1,0,30,0.429,0.345
샤오펑,1,0,1,3,0.429,0.345
bmw,1,0,1,15,0.571,0.244
amd,1,2,-1,12,0.571,0.244
아이폰,1,2,-1,89,1.286,-0.134
공급망,1,3,-2,50,1.571,-0.254
모바일,1,2,-1,49,1.571,-0.254
모니터,1,5,-4,107,2.143,-0.464
기아,1,2,-1,38,2.571,-0.604
삼성디스플레이,1,21,-20,68,3.571,-0.89
엔비디아,1,2,-1,95,4.286,-1.07
노트북,1,12,-11,113,4.429,-1.104
