term,cur,prev,diff,total,ma7,z_like
삼성전자,18,2,16,541,22.571,-0.795
기아,14,27,-13,51,6.0,2.319
갤럭시,5,1,4,78,2.143,1.16
스마트폰,4,6,-2,91,2.429,0.614
lg전자,4,24,-20,336,17.429,-2.595
아이폰,3,2,1,79,1.429,0.716
애플,3,10,-7,144,4.286,-0.419
tv,3,12,-9,371,16.429,-2.657
tcl,2,0,2,43,1.571,0.19
폴더블,2,3,-1,86,3.714,-0.586
노트북,2,3,-1,91,5.429,-1.03
레노버,2,17,-15,93,8.286,-1.621
알파벳,1,0,1,2,0.143,0.622
봉지,1,0,1,1,0.143,0.622
xr,1,1,0,63,1.0,0.0
양산,1,1,0,25,1.0,0.0
하이센스,1,4,-3,23,2.857,-0.69
퀄컴,1,0,1,30,3.429,-0.852
엔비디아,1,4,-3,80,6.143,-1.478
모니터,1,18,-17,201,6.571,-1.563
디스플레이,1,7,-6,243,10.714,-2.273
oled,1,4,-3,435,24.0,-3.899
