term,cur,prev,diff,total,ma7,z_like
lg디스플레이,16,2,14,132,2.714,5.018
sk온,4,0,4,5,0.571,1.953
구글,7,2,5,56,2.571,1.701
한화시스템,2,0,2,5,0.286,1.117
공급망,2,0,2,15,0.429,0.95
인텔,2,0,2,69,0.429,0.95
lcd,2,1,1,57,0.714,0.697
sk하이닉스,3,1,2,53,1.571,0.634
sfa,1,0,1,1,0.143,0.622
비보,1,0,1,1,0.143,0.622
샤프,1,0,1,3,0.143,0.622
그램,1,0,1,4,0.143,0.622
레노버,1,0,1,17,0.143,0.622
갤럭시,5,1,4,82,3.429,0.551
폴더블,2,1,1,50,1.0,0.5
스마트워치,1,1,0,2,0.286,0.465
알파벳,1,0,1,6,0.286,0.465
amd,1,0,1,11,0.286,0.465
세미파이브,1,1,0,11,0.286,0.465
벤츠,1,1,0,43,0.286,0.465
hp,1,1,0,54,0.429,0.345
모바일,1,0,1,24,0.571,0.244
byd,1,1,0,18,0.714,0.155
