term,cur,prev,diff,total,ma7,z_like
삼성전자,5,28,-23,536,18.429,-2.537
애플,4,3,1,225,4.286,-0.093
구글,3,2,1,36,1.571,0.634
아이폰,3,0,3,70,2.286,0.284
기아,3,9,-6,33,2.857,0.053
tv,3,5,-2,216,4.857,-0.58
lg전자,3,5,-2,192,6.143,-0.904
모바일,2,2,0,47,1.286,0.335
고성능,2,2,0,32,1.286,0.335
boe,2,3,-1,35,2.429,-0.168
xr,2,3,-1,112,2.714,-0.27
노트북,2,2,0,102,3.571,-0.544
엔비디아,2,3,-1,241,9.143,-1.775
니트,1,0,1,3,0.143,0.622
비전프로,1,0,1,2,0.143,0.622
공급망,1,0,1,31,0.286,0.465
lg화학,1,0,1,18,0.286,0.465
tsmc,1,1,0,11,0.286,0.465
아마존,1,0,1,27,0.429,0.345
갤럭시,1,3,-2,88,1.429,-0.195
벤츠,1,5,-4,155,5.0,-1.236
삼성디스플레이,1,12,-11,104,9.143,-2.024
