term,cur,prev,diff,ma7,z_like,total
nvidia,9,0,9,2.143,2.783,15
딥엑스,5,0,5,0.714,2.323,5
oled,16,15,1,8.714,1.844,208
맥북,4,0,4,0.857,1.632,15
카카오,3,0,3,0.714,1.239,8
스마트폰,5,0,5,2.143,1.16,47
모바일,2,0,2,0.429,0.95,14
아이폰,4,3,1,1.857,0.907,50
vr,2,1,1,0.571,0.814,6
애플,9,7,2,6.429,0.727,175
ar,3,2,1,1.429,0.716,25
bmw,1,0,1,0.143,0.622,7
노키아,1,0,1,0.143,0.622,1
생산능력,1,0,1,0.143,0.622,3
원익ips,1,0,1,0.143,0.622,4
저전력,1,0,1,0.143,0.622,1
샤오미,4,4,0,2.429,0.614,23
폴더블,2,2,0,0.857,0.593,54
sharp,1,0,1,0.286,0.465,8
레노버,1,0,1,0.286,0.465,26
4k,1,1,0,0.286,0.465,6
마이크로소프트,1,1,0,0.286,0.465,2
lcd,1,0,1,0.429,0.345,16
uhd,1,0,1,0.429,0.345,3
고성능,1,0,1,0.429,0.345,23
벤큐,1,2,-1,0.429,0.345,3
삼성전자,21,36,-15,19.286,0.318,465
tv,8,14,-6,7.0,0.274,134
화웨이,1,0,1,0.571,0.244,11
boe,1,1,0,0.571,0.244,14
한화솔루션,1,2,-1,0.571,0.244,9
노트북,4,5,-1,3.429,0.2,48
디스플레이,5,3,2,4.857,0.045,106
모니터,5,18,-13,4.857,0.045,75
삼성디스플레이,3,0,3,3.429,-0.15,34
갤럭시,1,2,-1,1.857,-0.363,64
공급망,1,0,1,2.0,-0.414,26
현대차,2,2,0,3.286,-0.457,45
현대모비스,1,7,-6,2.286,-0.512,32
xr,1,1,0,2.429,-0.558,102
아마존,1,0,1,2.857,-0.69,23
lg전자,4,2,2,7.571,-0.952,168
인텔,1,1,0,5.0,-1.236,42
엔비디아,7,2,5,13.286,-1.353,135
lg디스플레이,2,1,1,7.429,-1.457,82
