org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
최고,0,3,4,0,7,1,0,0
최승섭기자,0,0,0,0,0,0,30,0
추석,1,1,1,0,1,4,2,1
출시,1,0,1,0,1,0,0,0
친구,4,6,1,0,10,2,1,3
친구탭,0,2,0,0,5,0,0,0
카메라,4,1,2,1,4,4,1,4
카카오,3,7,3,0,11,4,1,2
카카오톡,0,2,0,0,4,0,0,0
컴투스,7,1,2,0,3,6,0,4
코스피,1,0,5,2,4,3,1,1
클레녹스,8,19,0,0,0,0,0,0
탄력,8,19,0,0,0,0,0,0
태블릿,4,0,0,0,2,4,0,6
통해,13,11,6,5,18,13,1,10
투자,10,5,18,3,14,20,1,15
특히,5,1,1,0,5,5,0,8
파운드리,4,3,4,15,6,4,0,4
패널,13,11,10,1,11,20,1,22
포럼,9,6,8,40,16,8,0,12
포유디지탈,4,0,0,0,2,4,0,6
폴더블,5,6,4,1,4,8,0,6
폴더블폰,4,5,4,1,4,6,0,4
프로,3,1,2,0,1,6,0,7
프로젝트에,4,0,4,2,3,8,0,10
프리미엄,8,13,1,0,4,2,1,3
피부,10,24,0,0,0,0,0,0
하드웨어,3,1,1,0,5,2,0,2
하반기,4,2,2,0,4,5,0,6
한국,9,2,11,2,8,10,1,7
한화,0,0,0,0,0,0,36,0
한화생명볼파크에서,0,0,0,0,0,0,35,0
함께,11,9,5,0,5,7,0,5
합작법인,4,0,4,0,1,8,0,5
허페,8,0,9,4,7,16,2,20
현대모비스,9,6,8,44,18,8,0,12
현대차,1,2,1,10,4,2,0,3
현재,3,2,3,6,4,6,0,4
협력,5,2,7,12,9,7,1,6
홈케어,6,14,0,0,0,0,0,0
화면,9,6,2,0,10,7,2,7
화재,2,3,2,0,8,2,0,4
확대,4,2,5,2,4,8,0,5
확대될,8,6,2,0,6,4,1,6
회사,1,1,2,0,3,3,0,1
효과,8,22,1,0,2,0,0,2
흡입력,0,3,2,0,6,0,0,0
