org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,7,0.7444,0.0029,0.5947,0.7444
AMD,2,0.7178,0.0022,0.5735,0.7178
AMD,3,0.7053,0.0020,0.5634,0.7053
ASUS,0,2.8714,0.0129,0.6683,2.8714
ASUS,6,1.7129,0.0093,0.3987,1.7129
ASUS,7,1.4889,0.0058,0.3465,1.4889
ASUS,2,1.4357,0.0043,0.3342,1.4357
ASUS,1,1.4105,0.0080,0.3283,1.4105
ASUS,5,0.7178,0.0023,0.1671,0.7178
ASUS,3,0.7053,0.0020,0.1642,0.7053
BOE,2,17.9460,0.0542,0.6376,17.9460
BOE,7,13.3999,0.0520,0.4761,13.3999
BOE,3,11.2843,0.0328,0.4009,11.2843
BOE,5,7.8962,0.0249,0.2806,7.8962
BOE,4,7.7580,0.0207,0.2756,7.7580
BOE,0,5.0249,0.0225,0.1785,5.0249
BOE,1,3.5263,0.0200,0.1253,3.5263
BOE,6,1.7129,0.0093,0.0609,1.7129
CES,3,8.4632,0.0246,0.6128,8.4632
CES,4,8.4632,0.0226,0.6128,8.4632
CES,5,5.7427,0.0181,0.4158,5.7427
CES,2,2.8714,0.0087,0.2079,2.8714
CES,7,1.4889,0.0058,0.1078,1.4889
CES,0,1.4357,0.0064,0.1040,1.4357
CES,1,1.4105,0.0080,0.1021,1.4105
CSOT,3,9.1685,0.0266,0.5345,9.1685
CSOT,2,8.6141,0.0260,0.5022,8.6141
CSOT,7,6.7000,0.0260,0.3906,6.7000
CSOT,4,6.3474,0.0169,0.3700,6.3474
CSOT,5,5.7427,0.0181,0.3348,5.7427
CSOT,1,3.5263,0.0200,0.2056,3.5263
CSOT,0,2.1535,0.0096,0.1255,2.1535
CSOT,6,0.8565,0.0046,0.0499,0.8565
IoT,4,11.9896,0.0320,0.6763,11.9896
IoT,0,7.1784,0.0322,0.4049,7.1784
IoT,3,7.0527,0.0205,0.3978,7.0527
IoT,6,5.9953,0.0324,0.3382,5.9953
IoT,5,4.3070,0.0136,0.2429,4.3070
IoT,1,2.8211,0.0160,0.1591,2.8211
IoT,2,2.1535,0.0065,0.1215,2.1535
IoT,7,1.4889,0.0058,0.0840,1.4889
LG디스플레이,3,60.6531,0.1762,0.5969,60.6531
LG디스플레이,4,45.1372,0.1205,0.4442,45.1372
LG디스플레이,2,40.1990,0.1215,0.3956,40.1990
LG디스플레이,7,36.4776,0.1416,0.3590,36.4776
LG디스플레이,5,31.5850,0.0995,0.3109,31.5850
LG디스플레이,0,18.6638,0.0836,0.1837,18.6638
LG디스플레이,6,13.7036,0.0741,0.1349,13.7036
LG디스플레이,1,11.2843,0.0640,0.1111,11.2843
LG전자,4,28.9160,0.0772,0.5131,28.9160
LG전자,3,22.5686,0.0656,0.4005,22.5686
LG전자,7,21.5888,0.0838,0.3831,21.5888
