org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
AMD,,,0.72 (0%),0.71 (0%),,,,0.74 (0%)
ASUS,2.87 (1%),1.41 (1%),1.44 (0%),0.71 (0%),,0.72 (0%),1.71 (1%),1.49 (1%)
BOE,5.02 (2%),3.53 (2%),17.95 (5%),11.28 (3%),7.76 (2%),7.90 (2%),1.71 (1%),13.40 (5%)
CES,1.44 (1%),1.41 (1%),2.87 (1%),8.46 (2%),8.46 (2%),5.74 (2%),,1.49 (1%)
CSOT,2.15 (1%),3.53 (2%),8.61 (3%),9.17 (3%),6.35 (2%),5.74 (2%),0.86 (0%),6.70 (3%)
IoT,7.18 (3%),2.82 (2%),2.15 (1%),7.05 (2%),11.99 (3%),4.31 (1%),6.00 (3%),1.49 (1%)
LG디스플레이,18.66 (8%),11.28 (6%),40.20 (12%),60.65 (18%),45.14 (12%),31.58 (10%),13.70 (7%),36.48 (14%)
LG전자,18.66 (8%),12.69 (7%),16.51 (5%),22.57 (7%),28.92 (8%),15.07 (5%),18.84 (10%),21.59 (8%)
LG화학,1.44 (1%),2.82 (2%),0.72 (0%),0.71 (0%),2.82 (1%),0.72 (0%),2.57 (1%),0.74 (0%)
SID,1.44 (1%),1.41 (1%),2.87 (1%),8.46 (2%),8.46 (2%),5.74 (2%),,1.49 (1%)
SK하이닉스,14.36 (6%),9.87 (6%),7.18 (2%),16.22 (5%),28.21 (8%),15.79 (5%),15.42 (8%),9.68 (4%)
TCL,1.44 (1%),4.23 (2%),7.18 (2%),4.23 (1%),3.53 (1%),3.59 (1%),,5.96 (2%)
TSMC,0.72 (0%),1.41 (1%),,,1.41 (0%),,0.86 (0%),2.23 (1%)
Tianma,0.72 (0%),1.41 (1%),2.87 (1%),3.53 (1%),2.82 (1%),1.44 (0%),,2.23 (1%)
UL,2.87 (1%),1.41 (1%),,0.71 (0%),2.82 (1%),1.44 (0%),1.71 (1%),
Visionox,1.44 (1%),2.12 (1%),5.74 (2%),7.76 (2%),5.64 (2%),2.87 (1%),,4.47 (2%)
구글,11.49 (5%),5.64 (3%),2.87 (1%),5.64 (2%),8.46 (2%),6.46 (2%),10.28 (6%),1.49 (1%)
기아,5.02 (2%),4.23 (2%),2.87 (1%),4.94 (1%),6.35 (2%),3.59 (1%),4.28 (2%),2.23 (1%)
네이버,2.87 (1%),2.82 (2%),1.44 (0%),4.23 (1%),4.94 (1%),2.87 (1%),4.28 (2%),2.23 (1%)
마이크로소프트,2.15 (1%),0.71 (0%),0.72 (0%),0.71 (0%),2.12 (1%),1.44 (0%),2.57 (1%),
메타,2.87 (1%),3.53 (2%),1.44 (0%),0.71 (0%),2.82 (1%),1.44 (0%),2.57 (1%),0.74 (0%)
벤츠,1.64 (1%),3.22 (2%),0.82 (0%),1.61 (0%),2.42 (1%),1.64 (0%),2.94 (1%),1.70 (1%)
비보,1.44 (1%),2.12 (1%),11.49 (3%),2.82 (1%),2.12 (1%),2.15 (1%),,2.23 (1%)
삼성디스플레이,15.79 (7%),4.23 (2%),30.87 (9%),37.38 (11%),38.08 (10%),82.55 (26%),5.14 (3%),21.59 (8%)
삼성전자,28.71 (13%),29.62 (17%),43.79 (13%),45.84 (13%),55.01 (15%),53.84 (17%),25.69 (14%),49.13 (19%)
샤오미,2.15 (1%),2.82 (2%),17.23 (5%),4.94 (1%),3.53 (1%),3.59 (1%),,3.72 (1%)
선익시스템,,,1.44 (0%),3.53 (1%),1.41 (0%),2.15 (1%),,1.49 (1%)
소니,4.31 (2%),2.12 (1%),0.72 (0%),0.71 (0%),2.12 (1%),2.15 (1%),3.43 (2%),
아마존,0.78 (0%),2.31 (1%),0.78 (0%),0.77 (0%),2.31 (1%),0.78 (0%),1.87 (1%),0.81 (0%)
아이씨디,1.83 (1%),0.90 (0%),5.48 (1%),9.88 (2%),7.18 (2%),5.48 (1%),,4.74 (1%)
애플,64.18 (13%),50.12 (12%),120.13 (16%),59.82 (8%),58.20 (7%),41.14 (6%),54.97 (13%),54.61 (9%)
엔비디아,0.72 (0%),1.41 (1%),,,1.41 (0%),,0.86 (0%),2.23 (1%)
오포,1.44 (1%),0.71 (0%),11.49 (3%),4.94 (1%),2.82 (1%),2.87 (1%),,2.98 (1%)
인텔,1.74 (1%),4.28 (2%),0.87 (0%),0.86 (0%),4.28 (1%),0.87 (0%),3.12 (1%),3.61 (1%)
카카오,5.74 (3%),3.53 (2%),2.15 (1%),4.94 (1%),7.05 (2%),4.31 (1%),8.56 (5%),3.72 (1%)
퀄컴,4.31 (2%),4.94 (3%),3.59 (1%),2.12 (1%),4.23 (1%),1.44 (0%),4.28 (2%),2.23 (1%)
폭스바겐,4.31 (2%),1.41 (1%),1.44 (0%),1.41 (0%),2.12 (1%),1.44 (0%),0.86 (0%),
하이센스,,2.12 (1%),3.59 (1%),2.12 (1%),1.41 (0%),2.15 (1%),,2.98 (1%)
한화,4.22 (1%),1.38 (0%),4.22 (1%),1.38 (0%),2.76 (0%),1.41 (0%),8.38 (2%),
현대모비스,2.15 (1%),1.41 (1%),1.44 (0%),4.23 (1%),4.23 (1%),2.87 (1%),2.57 (1%),1.49 (1%)
현대차,15.78 (5%),14.39 (5%),9.02 (2%),13.29 (2%),22.15 (4%),9.02 (2%),16.14 (6%),17.53 (4%)
화웨이,2.15 (1%),0.71 (0%),8.61 (3%),4.94 (1%),5.64 (2%),5.74 (2%),0.86 (0%),2.98 (1%)
