org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,239.38 (1%),250.38 (1%),,15.54 (0%),54.21 (1%),26.33 (1%),,9.02 (1%),21.74 (2%),31.68 (2%),
ASUS,59.84 (0%),62.60 (0%),,4.66 (0%),16.12 (0%),3.99 (0%),,,11.27 (1%),1.62 (0%),2.60 (0%)
AUO,47.46 (0%),49.53 (0%),1.16 (1%),9.32 (0%),9.52 (0%),4.79 (0%),1.69 (0%),,,2.44 (0%),
Acer,50.90 (0%),52.97 (0%),1.16 (1%),1.55 (0%),11.72 (0%),2.39 (0%),,,9.66 (1%),,2.60 (0%)
BMW,77.73 (0%),81.17 (0%),,10.88 (0%),92.31 (2%),10.37 (0%),5.06 (1%),,12.08 (1%),8.94 (0%),
BOE,770.41 (4%),774.54 (4%),,99.46 (2%),84.25 (2%),42.29 (2%),9.28 (1%),,17.71 (2%),43.87 (2%),
BYD,100.43 (1%),99.74 (1%),,10.10 (0%),68.86 (2%),6.38 (0%),8.43 (1%),,9.66 (1%),13.81 (1%),
Bosch,1.38 (0%),1.38 (0%),,1.55 (0%),,,,,,,
CES,223.56 (1%),229.75 (1%),,68.38 (2%),44.69 (1%),21.54 (1%),7.59 (1%),,29.79 (3%),8.12 (0%),
CSOT,445.74 (2%),449.18 (2%),,73.04 (2%),46.89 (1%),27.13 (1%),8.43 (1%),,9.66 (1%),20.31 (1%),
Corning,4.82 (0%),4.82 (0%),,,0.73 (0%),,,,,,
Counterpoint,6.19 (0%),6.19 (0%),,1.55 (0%),1.47 (0%),2.39 (0%),0.84 (0%),,,0.81 (0%),0.87 (0%)
DELL,0.69 (0%),0.69 (0%),,,,,,,,0.81 (0%),
DSCC,4.13 (0%),4.13 (0%),,1.55 (0%),,,,,,,
Dell,60.53 (0%),62.60 (0%),,4.66 (0%),17.58 (0%),3.99 (0%),,,9.66 (1%),2.44 (0%),2.60 (0%)
ETRI,28.89 (0%),29.58 (0%),,3.11 (0%),8.79 (0%),,16.87 (2%),,1.61 (0%),3.25 (0%),0.87 (0%)
HMI,6.88 (0%),6.88 (0%),,,,,,,,,0.87 (0%)
HP,122.44 (1%),128.63 (1%),,6.22 (0%),25.64 (1%),13.56 (1%),,,16.10 (1%),1.62 (0%),4.34 (1%)
Harman,29.58 (0%),28.89 (0%),,1.55 (0%),6.59 (0%),0.80 (0%),3.37 (0%),,1.61 (0%),1.62 (0%),
IEC,36.46 (0%),37.14 (0%),,7.77 (0%),5.13 (0%),7.18 (0%),3.37 (0%),,16.91 (2%),,9.55 (1%)
IEEE,4.82 (0%),5.50 (0%),,1.55 (0%),1.47 (0%),0.80 (0%),,,0.81 (0%),,1.74 (0%)
IMID,49.53 (0%),49.53 (0%),,5.44 (0%),7.33 (0%),,20.24 (3%),,1.61 (0%),,0.87 (0%)
ITU,50.90 (0%),51.59 (0%),,10.88 (0%),4.40 (0%),1.60 (0%),1.69 (0%),1.13 (0%),,,1.74 (0%)
Innolux,35.77 (0%),37.14 (0%),1.16 (1%),5.44 (0%),14.65 (0%),2.39 (0%),,,1.61 (0%),2.44 (0%),
IoT,240.07 (1%),247.63 (1%),,101.01 (2%),66.67 (2%),39.89 (2%),18.55 (3%),,40.25 (4%),24.37 (1%),
JDI,39.90 (0%),39.21 (0%),,6.22 (0%),2.20 (0%),1.60 (0%),0.84 (0%),,1.61 (0%),,0.87 (0%)
KAIST,54.34 (0%),53.65 (0%),,6.22 (0%),21.98 (0%),,17.71 (3%),,5.64 (1%),4.06 (0%),4.34 (1%)
LG디스플레이,1244.36 (7%),1248.48 (7%),,210.57 (5%),178.75 (4%),60.64 (3%),29.51 (4%),,64.41 (6%),173.04 (9%),
LG전자,1259.49 (7%),1293.20 (7%),,1222.27 (30%),347.25 (8%),387.76 (16%),,,71.65 (7%),199.85 (10%),61.63 (9%)
LG화학,231.12 (1%),233.88 (1%),,52.06 (1%),80.58 (2%),15.96 (1%),,43.98 (7%),10.47 (1%),135.67 (7%),
MOTIE,0.69 (0%),0.69 (0%),,,,,,,,,
MWC,13.76 (0%),13.76 (0%),1.16 (1%),,2.20 (0%),3.19 (0%),,,0.81 (0%),0.81 (0%),0.87 (0%)
Merck,3.44 (0%),3.44 (0%),,,0.73 (0%),,1.69 (0%),,0.81 (0%),,0.87 (0%)
SEMI,2.06 (0%),2.06 (0%),,,,,,,,0.81 (0%),
SID,106.62 (1%),105.93 (1%),1.16 (1%),3.11 (0%),1.47 (0%),3.19 (0%),5.90 (1%),,21.74 (2%),,
SK하이닉스,480.13 (3%),493.89 (3%),,47.40 (1%),95.97 (2%),61.44 (3%),,48.50 (7%),23.35 (2%),55.24 (3%),
Semiconductor,35.77 (0%),37.14 (0%),,2.33 (0%),8.06 (0%),3.99 (0%),8.43 (1%),,4.83 (0%),11.37 (1%),
TCL,547.54 (3%),567.49 (3%),,250.98 (6%),82.78 (2%),75.80 (3%),,,26.57 (2%),24.37 (1%),15.63 (2%)
TSMC,132.07 (1%),136.89 (1%),,,29.30 (1%),18.35 (1%),5.90 (1%),,5.64 (1%),26.00 (1%),4.34 (1%)
Tianma,54.34 (0%),55.03 (0%),1.16 (1%),6.99 (0%),8.06 (0%),2.39 (0%),,,,0.81 (0%),0.87 (0%)
Toray,8.94 (0%),8.25 (0%),,,4.40 (0%),1.60 (0%),,1.13 (0%),1.61 (0%),0.81 (0%),
UDC,20.64 (0%),22.70 (0%),,1.55 (0%),2.93 (0%),3.19 (0%),3.37 (0%),,,,
UL,75.67 (0%),75.67 (0%),,17.87 (0%),10.26 (0%),3.19 (0%),2.53 (0%),,,3.25 (0%),1.74 (0%)
V2X,74.98 (0%),79.79 (0%),1.16 (1%),7.77 (0%),6.59 (0%),6.38 (0%),,1.13 (0%),,1.62 (0%),
Visionox,77.73 (0%),74.29 (0%),,4.66 (0%),4.40 (0%),3.19 (0%),,,1.61 (0%),0.81 (0%),0.87 (0%)
구글,478.07 (3%),465.00 (3%),,57.50 (1%),160.44 (4%),78.19 (3%),,,34.62 (3%),29.25 (2%),54.69 (8%)
기아,181.60 (1%),182.29 (1%),,31.86 (1%),167.76 (4%),31.12 (1%),16.02 (2%),,19.32 (2%),18.69 (1%),
기아자동차,18.57 (0%),19.26 (0%),,3.11 (0%),14.65 (0%),3.99 (0%),0.84 (0%),,1.61 (0%),,0.87 (0%)
기아차,2.06 (0%),2.06 (0%),,,4.40 (0%),,,,,,
네이버,271.02 (1%),273.08 (1%),,58.28 (1%),113.55 (3%),44.68 (2%),,,16.91 (2%),64.99 (3%),20.83 (3%)
니오,4.13 (0%),4.13 (0%),,,3.66 (0%),,0.84 (0%),,,,0.87 (0%)
도우인시스,2.42 (0%),2.42 (0%),,,0.86 (0%),,,,,,
두산로보틱스,41.27 (0%),41.96 (0%),,3.11 (0%),10.99 (0%),,2.53 (0%),6.77 (1%),2.42 (0%),115.36 (6%),
디지타임스,11.69 (0%),11.69 (0%),,,1.47 (0%),,,,,0.81 (0%),
딥엑스,1.38 (0%),2.06 (0%),,,,0.80 (0%),,,,,
레노버,30.27 (0%),30.27 (0%),,3.89 (0%),8.79 (0%),1.60 (0%),,,2.42 (0%),0.81 (0%),0.87 (0%)
리벨리온,13.76 (0%),14.45 (0%),,2.33 (0%),5.13 (0%),1.60 (0%),,1.13 (0%),1.61 (0%),,0.87 (0%)
리오토,6.19 (0%),6.19 (0%),,1.55 (0%),5.13 (0%),,0.84 (0%),,,0.81 (0%),
마이크로소프트,218.74 (1%),219.43 (1%),,24.09 (1%),52.75 (1%),19.95 (1%),,,12.88 (1%),30.87 (2%),8.68 (1%)
메타,303.35 (2%),297.16 (2%),,,63.00 (1%),27.93 (1%),8.43 (1%),,17.71 (2%),26.81 (1%),24.31 (4%)
미디어텍,33.02 (0%),32.33 (0%),,3.11 (0%),3.66 (0%),3.99 (0%),,,,1.62 (0%),
바이두,13.07 (0%),13.76 (0%),,0.78 (0%),2.20 (0%),1.60 (0%),,,0.81 (0%),,
