term,cur,prev,diff,ma7,z_like,total
sk온,9,0,9,1.286,3.615,10
애플,24,15,9,9.857,3.416,150
고성능,5,0,5,0.714,2.323,15
아이패드,7,5,2,2.714,1.619,25
oled,14,9,5,9.286,1.165,189
샤프,2,0,2,0.286,1.117,2
올레드,2,0,2,0.286,1.117,7
samsung,3,3,0,0.857,1.113,9
amd,1,0,1,0.143,0.622,7
도우인시스,1,0,1,0.143,0.622,1
메타버스,1,0,1,0.143,0.622,3
저비용,1,0,1,0.143,0.622,1
패드,1,0,1,0.143,0.622,2
아이폰,5,6,-1,3.429,0.551,45
sk하이닉스,2,3,-1,1.0,0.5,32
가상현실,1,0,1,0.286,0.465,3
샤오미,1,0,1,0.286,0.465,7
한화,1,0,1,0.286,0.465,40
lg화학,1,1,0,0.286,0.465,6
차세대,3,0,3,2.143,0.348,49
sharp,1,0,1,0.429,0.345,3
ar,2,3,-1,1.571,0.19,38
tsmc,1,5,-4,1.143,-0.069,20
폴더블,3,8,-5,3.571,-0.198,52
lg디스플레이,1,3,-2,1.571,-0.254,85
삼성,19,29,-10,21.143,-0.383,485
갤럭시,2,5,-3,3.857,-0.627,49
게이밍,1,10,-9,3.0,-0.732,29
삼성전자,17,23,-6,21.143,-0.74,265
lg,6,28,-22,12.714,-1.471,341
