org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,6,11.1116,0.0353,0.5661,11.1116
AMD,7,8.4534,0.0221,0.4306,8.4534
AMD,1,7.2824,0.0225,0.3710,7.2824
AMD,0,7.0313,0.0377,0.3582,7.0313
AMD,3,6.6670,0.0200,0.3396,6.6670
AMD,4,4.4447,0.0134,0.2264,4.4447
AMD,5,4.2968,0.0154,0.2189,4.2968
AMD,2,2.2903,0.0137,0.1167,2.2903
BOE,3,25.1864,0.0757,0.6721,25.1864
BOE,7,14.7934,0.0386,0.3948,14.7934
BOE,5,14.3227,0.0514,0.3822,14.3227
BOE,4,13.3340,0.0401,0.3558,13.3340
BOE,6,7.4078,0.0235,0.1977,7.4078
BOE,0,7.0313,0.0377,0.1876,7.0313
BOE,1,6.5541,0.0203,0.1749,6.5541
BOE,2,4.5805,0.0274,0.1222,4.5805
CES,3,1.4816,0.0045,0.8254,1.4816
CES,1,0.7282,0.0023,0.4057,0.7282
CES,7,0.7044,0.0018,0.3925,0.7044
CSOT,3,8.1485,0.0245,0.7201,8.1485
CSOT,7,4.9311,0.0129,0.4358,4.9311
CSOT,4,3.7039,0.0111,0.3273,3.7039
CSOT,0,3.1250,0.0167,0.2762,3.1250
CSOT,5,2.8645,0.0103,0.2532,2.8645
CSOT,6,1.4816,0.0047,0.1309,1.4816
CSOT,1,1.4565,0.0045,0.1287,1.4565
CSOT,2,1.1451,0.0068,0.1012,1.1451
IoT,1,9.4671,0.0293,0.5888,9.4671
IoT,7,9.1578,0.0239,0.5695,9.1578
IoT,4,5.9262,0.0178,0.3686,5.9262
IoT,0,4.6875,0.0251,0.2915,4.6875
IoT,6,4.4447,0.0141,0.2764,4.4447
IoT,5,2.8645,0.0103,0.1782,2.8645
JDI,3,3.7039,0.0111,0.5875,3.7039
JDI,7,3.5222,0.0092,0.5587,3.5222
JDI,6,2.2223,0.0071,0.3525,2.2223
JDI,1,2.1847,0.0068,0.3465,2.1847
JDI,5,1.4323,0.0051,0.2272,1.4323
JDI,2,1.1451,0.0068,0.1816,1.1451
JDI,4,0.7408,0.0022,0.1175,0.7408
LG디스플레이,3,54.8174,0.1648,0.7128,54.8174
LG디스플레이,5,30.0777,0.1080,0.3911,30.0777
LG디스플레이,7,27.4734,0.0717,0.3573,27.4734
LG디스플레이,4,23.7048,0.0713,0.3082,23.7048
LG디스플레이,6,16.2971,0.0518,0.2119,16.2971
LG디스플레이,0,14.0626,0.0753,0.1829,14.0626
LG디스플레이,1,13.8365,0.0428,0.1799,13.8365
LG디스플레이,2,5.7257,0.0342,0.0745,5.7257
LG전자,2,50.3858,0.3014,0.5252,50.3858
LG전자,4,40.0019,0.1203,0.4170,40.0019
LG전자,6,40.0019,0.1271,0.4170,40.0019
LG전자,5,30.0777,0.1080,0.3135,30.0777
LG전자,0,28.1252,0.1506,0.2932,28.1252
LG전자,7,27.4734,0.0717,0.2864,27.4734
LG전자,1,24.7601,0.0766,0.2581,24.7601
LG전자,3,20.0009,0.0601,0.2085,20.0009
LG화학,5,15.0389,0.0540,0.9134,15.0389
LG화학,7,4.2267,0.0110,0.2567,4.2267
LG화학,3,2.9631,0.0089,0.1800,2.9631
LG화학,6,2.9631,0.0094,0.1800,2.9631
LG화학,4,2.2223,0.0067,0.1350,2.2223
LG화학,0,1.5625,0.0084,0.0949,1.5625
LG화학,1,1.4565,0.0045,0.0885,1.4565
SID,3,1.4816,0.0045,0.8254,1.4816
SID,1,0.7282,0.0023,0.4057,0.7282
SID,7,0.7044,0.0018,0.3925,0.7044
SK하이닉스,7,29.5868,0.0772,0.6238,29.5868
SK하이닉스,1,29.1295,0.0901,0.6141,29.1295
SK하이닉스,6,14.0747,0.0447,0.2967,14.0747
SK하이닉스,4,13.3340,0.0401,0.2811,13.3340
SK하이닉스,0,7.8125,0.0418,0.1647,7.8125
SK하이닉스,3,5.9262,0.0178,0.1249,5.9262
SK하이닉스,5,5.7291,0.0206,0.1208,5.7291
SK하이닉스,2,4.5805,0.0274,0.0966,4.5805
Semiconductor,1,2.1847,0.0068,0.7482,2.1847
Semiconductor,4,1.4816,0.0045,0.5074,1.4816
Semiconductor,6,0.7408,0.0024,0.2537,0.7408
Semiconductor,5,0.7161,0.0026,0.2453,0.7161
Semiconductor,7,0.7044,0.0018,0.2413,0.7044
TCL,4,9.6301,0.0290,0.7373,9.6301
TCL,6,6.6670,0.0212,0.5105,6.6670
TCL,3,4.4447,0.0134,0.3403,4.4447
TCL,5,2.1484,0.0077,0.1645,2.1484
TCL,7,2.1133,0.0055,0.1618,2.1133
TCL,0,1.5625,0.0084,0.1196,1.5625
TCL,1,1.4565,0.0045,0.1115,1.4565
TSMC,6,2.9631,0.0094,0.7031,2.9631
TSMC,1,2.1847,0.0068,0.5184,2.1847
TSMC,7,1.4089,0.0037,0.3343,1.4089
TSMC,0,0.7813,0.0042,0.1854,0.7813
TSMC,3,0.7408,0.0022,0.1758,0.7408
TSMC,4,0.7408,0.0022,0.1758,0.7408
TSMC,5,0.7161,0.0026,0.1699,0.7161
V2X,1,7.2824,0.0225,0.7081,7.2824
V2X,7,6.3400,0.0165,0.6165,6.3400
V2X,4,2.2223,0.0067,0.2161,2.2223
V2X,6,2.2223,0.0071,0.2161,2.2223
V2X,5,1.4323,0.0051,0.1393,1.4323
V2X,0,0.7813,0.0042,0.0760,0.7813
구글,4,14.0747,0.0423,0.5284,17.0698
구글,1,11.6518,0.0360,0.4375,14.1313
구글,7,10.5667,0.0276,0.3967,12.8153
구글,3,8.8893,0.0267,0.3337,10.7809
구글,0,8.5938,0.0460,0.3227,10.4226
구글,6,8.1485,0.0259,0.3059,9.8825
구글,5,5.7291,0.0206,0.2151,6.9482
구글,2,3.4354,0.0205,0.1290,4.1664
기아,1,14.5648,0.0450,0.6706,14.5648
기아,7,11.2711,0.0294,0.5190,11.2711
기아,4,7.4078,0.0223,0.3411,7.4078
기아,6,5.1854,0.0165,0.2388,5.1854
기아,0,4.6875,0.0251,0.2158,4.6875
기아,2,3.4354,0.0205,0.1582,3.4354
기아,3,2.9631,0.0089,0.1364,2.9631
기아,5,2.8645,0.0103,0.1319,2.8645
네이버,1,8.0106,0.0248,0.6340,8.0106
네이버,7,6.3400,0.0165,0.5018,6.3400
네이버,4,4.4447,0.0134,0.3518,4.4447
네이버,0,3.1250,0.0167,0.2473,3.1250
네이버,3,2.9631,0.0089,0.2345,2.9631
네이버,6,2.9631,0.0094,0.2345,2.9631
네이버,5,2.8645,0.0103,0.2267,2.8645
두산로보틱스,5,13.6066,0.0488,0.9855,13.6066
두산로보틱스,3,2.2223,0.0067,0.1610,2.2223
