term,cur,prev,diff,ma7,z_like,total
벤츠,27,0,27,4.286,7.398,52
폴더블,20,1,19,7.143,3.501,162
kaist,7,0,7,1.143,2.831,25
sk하이닉스,6,0,6,1.857,1.753,90
공급망,6,2,4,2.143,1.565,36
hp,6,0,6,2.286,1.479,27
노트북,7,4,3,3.0,1.464,152
4k,3,0,3,0.714,1.239,13
bmw,2,0,2,0.429,0.95,13
애플,10,2,8,6.857,0.869,256
ar,2,0,2,0.714,0.697,46
디스플레이,13,23,-10,10.143,0.683,184
fmm,1,0,1,0.143,0.622,1
sharp,1,0,1,0.143,0.622,5
프로아트,1,0,1,0.143,0.622,1
lcd,2,0,2,0.857,0.593,35
lg화학,2,0,2,0.857,0.593,46
스마트폰,6,0,6,4.286,0.558,115
양산,3,0,3,1.714,0.557,92
소니,2,1,1,1.0,0.5,40
lg디스플레이,3,0,3,1.857,0.484,115
asus,1,0,1,0.286,0.465,23
고성능,1,0,1,0.286,0.465,23
증착기,1,0,1,0.286,0.465,2
lg전자,4,2,2,3.0,0.366,278
화웨이,2,0,2,1.286,0.335,24
맥북,1,0,1,0.571,0.244,18
모니터,3,0,3,2.429,0.223,176
xr,5,5,0,4.429,0.184,114
아이패드,1,0,1,0.714,0.155,8
메타,1,0,1,1.143,-0.069,29
아이폰,2,0,2,2.286,-0.114,123
인텔,1,1,0,1.286,-0.134,31
oled,3,3,0,6.857,-1.066,291
엔비디아,1,3,-2,6.429,-1.535,89
tv,7,14,-7,23.714,-2.848,437
삼성전자,5,28,-23,22.571,-3.055,504
