term,cur,prev,diff,total,ma7,z_like
hp,24,0,24,68,4.571,6.191
xr,10,2,8,62,2.429,2.959
현대모비스,5,2,3,36,1.0,2.0
ar,5,0,5,33,1.286,1.741
스마트폰,8,1,7,94,3.571,1.532
벤큐,3,0,3,9,0.571,1.383
올레드,3,0,3,38,0.571,1.383
lg디스플레이,5,1,4,108,2.143,1.16
boe,3,1,2,23,1.286,0.803
benq,1,0,1,1,0.143,0.622
고해상도,1,0,1,2,0.143,0.622
아마존,1,0,1,7,0.143,0.622
해상도,1,0,1,8,0.143,0.622
퀄컴,1,0,1,29,0.143,0.622
공급망,1,0,1,19,0.429,0.345
양산,2,0,2,35,1.286,0.335
모니터,4,1,3,221,3.143,0.309
메타,1,0,1,20,0.571,0.244
폴더블,2,2,0,73,1.714,0.124
구글,1,0,1,56,2.0,-0.414
sk하이닉스,1,1,0,51,2.857,-0.69
