date,topic_id,avg_sentiment,article_count
2025-10-19,0,0.5318,25
2025-10-19,1,0.5311,29
2025-10-19,2,0.5308,28
2025-10-19,3,0.531,26
2025-10-19,4,0.5319,28
2025-10-19,5,0.5317,26
2025-10-19,6,0.5309,27
2025-10-19,7,0.5318,27
