topic_id,word,prob
0,반도체,1.0
0,장비,0.8263957750957407
0,기술,0.6640828695476655
0,디스플레이,0.3757785850002021
0,핵심,0.3648432007656885
0,생산,0.21123739291836152
0,산업,0.20417896291765883
0,성장,0.1975047051698548
0,일본,0.19311268498238046
0,해외,0.18198231548795324
1,ai,1.0
1,데이터센터,0.9825888471479833
1,전력,0.9692866562582739
1,lg,0.6926092917589693
1,기술,0.5986997239716756
1,미래,0.5352589552664586
1,핵심,0.3475838911263819
1,단순한,0.33139986026741775
1,경험을,0.3312034877355173
1,으로,0.28488661903249185
2,기능을,1.0
2,디스플레이,0.9530205763575488
2,성능을,0.9102403200691335
2,프로,0.9048334662222424
2,역시,0.8598288458877619
2,가장,0.828763437373339
2,반도체,0.7625647922004386
2,전용,0.7492103679254593
2,배터리,0.713493776379281
2,led,0.6017782561903551
3,ai,1.0
3,명절,0.4158758197305484
3,이달,0.3149284666402481
3,led,0.2622387152665015
3,기업,0.24570714922733794
3,할인,0.24502937380086146
3,한국,0.21210745029716657
3,연휴,0.19651234041167545
3,대규모,0.16594535344130446
3,투자,0.1388491498945736
4,기술과,1.0
4,삼성디스플레이,0.9122049748538611
4,기술을,0.7785318098999197
4,차세대,0.7401849621042775
4,애플,0.6731302525684825
4,부품,0.6540834573656521
4,양산,0.6326073065724366
4,핵심,0.6167319932271751
4,중국,0.5755838539191054
4,중심,0.5600155095620719
5,oled,1.0
5,tv,0.587930546966464
5,패널,0.26352164208379736
5,lcd,0.21962378941777225
5,디스플레이,0.18515552443183228
5,중국,0.16472429742999983
5,프리미엄,0.16186755610260659
5,시장에서,0.12739847123218356
5,lg전자는,0.1259573219796684
5,패널을,0.11944427194832266
6,tv,1.0
6,ai,0.927316951133777
6,가전,0.9225730339076389
6,프리미엄,0.911573079175452
6,추석,0.9069173145359377
6,한국,0.8074626461473842
6,할인,0.6885826644430727
6,oled,0.6424891051142345
6,전기차,0.6014374125464315
6,수요가,0.5233921493442247
7,ai,1.0
7,미국,0.9288844613306905
7,반도체,0.5264178322069265
7,전기차,0.4506006734544361
7,삼성,0.3374218846127945
7,경우,0.3288348058959083
7,발생할,0.32820576594415507
7,공급망,0.3017905773056969
7,추석,0.3017853873492332
7,연휴,0.29812061958355296
