org,topic,base_score,topic_share,company_focus,hybrid_score
기아,7,5.1542,0.0258,0.3539,5.1542
기아,3,4.2416,0.0226,0.2912,4.2416
기아,2,3.6816,0.0177,0.2528,3.6816
기아,1,2.7726,0.0172,0.1904,2.7726
네이버,6,7.6246,0.0334,0.5861,7.6246
네이버,2,6.6269,0.0318,0.5094,6.6269
네이버,3,6.3625,0.0338,0.4891,6.3625
네이버,7,3.6816,0.0185,0.2830,3.6816
네이버,5,2.8853,0.0088,0.2218,2.8853
네이버,1,2.0794,0.0129,0.1598,2.0794
네이버,0,0.7069,0.0029,0.0543,0.7069
디지타임스,4,5.7705,0.0280,0.7428,5.7705
디지타임스,5,2.8853,0.0088,0.3714,2.8853
디지타임스,0,2.8278,0.0116,0.3640,2.8278
디지타임스,2,2.2090,0.0106,0.2844,2.2090
디지타임스,1,2.0794,0.0129,0.2677,2.0794
디지타임스,7,0.7363,0.0037,0.0948,0.7363
디지타임스,3,0.7069,0.0038,0.0910,0.7069
디지타임스,6,0.6931,0.0030,0.0892,0.6931
마이크로소프트,3,6.3625,0.0338,0.6522,6.3625
마이크로소프트,7,4.4179,0.0221,0.4529,4.4179
마이크로소프트,0,3.5347,0.0145,0.3623,3.5347
마이크로소프트,1,3.4657,0.0216,0.3553,3.4657
마이크로소프트,6,2.0794,0.0091,0.2132,2.0794
마이크로소프트,2,1.4726,0.0071,0.1510,1.4726
마이크로소프트,4,1.4426,0.0070,0.1479,1.4426
마이크로소프트,5,1.4426,0.0044,0.1479,1.4426
메타,3,9.1902,0.0489,0.5849,9.1902
메타,7,8.0995,0.0406,0.5155,8.0995
메타,0,5.6555,0.0233,0.3600,5.6555
메타,1,4.1589,0.0259,0.2647,4.1589
메타,6,4.1589,0.0182,0.2647,4.1589
메타,2,3.6816,0.0177,0.2343,3.6816
메타,4,2.8853,0.0140,0.1836,2.8853
메타,5,2.8853,0.0088,0.1836,2.8853
벤츠,3,14.1388,0.0752,0.7582,14.1388
벤츠,2,8.8358,0.0424,0.4738,8.8358
벤츠,6,6.2383,0.0274,0.3345,6.2383
벤츠,7,5.1542,0.0258,0.2764,5.1542
벤츠,1,2.0794,0.0129,0.1115,2.0794
삼성디스플레이,4,22.3609,0.1084,0.4867,23.4789
삼성디스플레이,0,21.2082,0.0872,0.4616,22.2686
삼성디스플레이,5,20.9182,0.0637,0.4553,21.9641
삼성디스플레이,1,14.5561,0.0905,0.3168,15.2839
삼성디스플레이,2,13.2537,0.0636,0.2885,13.9164
삼성디스플레이,6,13.1698,0.0578,0.2867,13.8283
삼성디스플레이,7,11.0448,0.0554,0.2404,11.5970
삼성디스플레이,3,6.3625,0.0338,0.1385,6.6806
삼성전자,5,47.6070,0.1451,0.5774,76.1045
삼성전자,0,31.8123,0.1308,0.3858,50.8552
삼성전자,6,29.8053,0.1307,0.3615,47.6468
삼성전자,2,28.7165,0.1378,0.3483,45.9061
삼성전자,4,24.5248,0.1189,0.2975,39.2054
삼성전자,7,24.2985,0.1218,0.2947,38.8436
삼성전자,3,18.3805,0.0977,0.2229,29.3830
삼성전자,1,16.6355,0.1034,0.2018,26.5936
샤오미,5,9.3771,0.0286,0.7064,11.0125
샤오미,6,6.2383,0.0274,0.4700,7.3263
샤오미,4,5.0492,0.0245,0.3804,5.9298
샤오미,3,2.8278,0.0150,0.2130,3.3209
샤오미,2,2.2090,0.0106,0.1664,2.5942
샤오미,0,2.1208,0.0087,0.1598,2.4907
샤오미,1,2.0794,0.0129,0.1567,2.4421
샤오미,7,1.4726,0.0074,0.1109,1.7295
샤오펑,5,5.0492,0.0154,0.5735,5.0492
샤오펑,6,4.8520,0.0213,0.5511,4.8520
샤오펑,4,3.6066,0.0175,0.4097,3.6066
샤오펑,2,2.2090,0.0106,0.2509,2.2090
샤오펑,3,2.1208,0.0113,0.2409,2.1208
샤오펑,7,1.4726,0.0074,0.1673,1.4726
샤오펑,0,1.4139,0.0058,0.1606,1.4139
샤오펑,1,1.3863,0.0086,0.1575,1.3863
샤프,5,4.3279,0.0132,0.7915,4.3279
샤프,0,2.1208,0.0087,0.3879,2.1208
샤프,2,1.4726,0.0071,0.2693,1.4726
샤프,4,1.4426,0.0070,0.2638,1.4426
샤프,6,1.3863,0.0061,0.2535,1.3863
샤프,3,0.7069,0.0038,0.1293,0.7069
선익시스템,0,5.6555,0.0233,0.6849,5.6555
선익시스템,4,2.8853,0.0140,0.3494,2.8853
선익시스템,5,2.8853,0.0088,0.3494,2.8853
선익시스템,1,2.7726,0.0172,0.3357,2.7726
선익시스템,2,2.2090,0.0106,0.2675,2.2090
선익시스템,6,2.0794,0.0091,0.2518,2.0794
선익시스템,7,1.4726,0.0074,0.1783,1.4726
선익시스템,3,0.7069,0.0038,0.0856,0.7069
소니,2,4.4179,0.0212,0.5460,4.4179
소니,7,3.6816,0.0185,0.4550,3.6816
소니,3,3.5347,0.0188,0.4368,3.5347
소니,5,2.1640,0.0066,0.2674,2.1640
소니,0,2.1208,0.0087,0.2621,2.1208
소니,1,2.0794,0.0129,0.2570,2.0794
소니,6,2.0794,0.0091,0.2570,2.0794
소니,4,1.4426,0.0070,0.1783,1.4426
아이씨디,0,5.6555,0.0233,0.6849,5.6555
아이씨디,4,2.8853,0.0140,0.3494,2.8853
아이씨디,5,2.8853,0.0088,0.3494,2.8853
아이씨디,1,2.7726,0.0172,0.3357,2.7726
아이씨디,2,2.2090,0.0106,0.2675,2.2090
아이씨디,6,2.0794,0.0091,0.2518,2.0794
아이씨디,7,1.4726,0.0074,0.1783,1.4726
아이씨디,3,0.7069,0.0038,0.0856,0.7069
애플,2,13.9901,0.0671,0.4672,15.4059
애플,4,13.7050,0.0664,0.4577,15.0920
애플,0,12.7249,0.0523,0.4249,14.0127
애플,5,10.8198,0.0330,0.3613,11.9147
애플,7,8.8358,0.0443,0.2951,9.7300
애플,1,7.6246,0.0474,0.2546,8.3962
애플,3,7.0694,0.0376,0.2361,7.7848
애플,6,6.9315,0.0304,0.2315,7.6329
엔비디아,7,11.0448,0.0554,0.5969,13.6955
엔비디아,3,9.8972,0.0526,0.5349,12.2725
엔비디아,0,5.6555,0.0233,0.3056,7.0128
엔비디아,1,5.5452,0.0345,0.2997,6.8760
엔비디아,6,4.8520,0.0213,0.2622,6.0165
엔비디아,2,4.4179,0.0212,0.2388,5.4782
엔비디아,4,2.8853,0.0140,0.1559,3.5777
엔비디아,5,2.8853,0.0088,0.1559,3.5777
원익IPS,0,18.3805,0.0756,0.6676,18.3805
원익IPS,4,11.5411,0.0559,0.4192,11.5411
원익IPS,1,11.0904,0.0690,0.4028,11.0904
원익IPS,7,6.6269,0.0332,0.2407,6.6269
원익IPS,5,6.4919,0.0198,0.2358,6.4919
원익IPS,2,5.8906,0.0283,0.2139,5.8906
원익IPS,6,5.5452,0.0243,0.2014,5.5452
원익IPS,3,3.5347,0.0188,0.1284,3.5347
인텔,7,2.9453,0.0148,0.6384,2.9453
인텔,2,1.4726,0.0071,0.3192,1.4726
인텔,5,1.4426,0.0044,0.3127,1.4426
인텔,0,1.4139,0.0058,0.3065,1.4139
인텔,3,1.4139,0.0075,0.3065,1.4139
인텔,1,1.3863,0.0086,0.3005,1.3863
인텔,6,1.3863,0.0061,0.3005,1.3863
인텔,4,0.7213,0.0035,0.1563,0.7213
하이센스,5,16.5903,0.0505,0.6451,16.5903
하이센스,3,9.8972,0.0526,0.3848,9.8972
하이센스,6,9.7041,0.0426,0.3773,9.7041
하이센스,2,8.8358,0.0424,0.3436,8.8358
하이센스,7,7.3632,0.0369,0.2863,7.3632
하이센스,0,5.6555,0.0233,0.2199,5.6555
하이센스,4,5.0492,0.0245,0.1963,5.0492
하이센스,1,2.0794,0.0129,0.0809,2.0794
한미반도체,0,5.6555,0.0233,0.6518,5.6555
한미반도체,4,4.3279,0.0210,0.4988,4.3279
한미반도체,1,4.1589,0.0259,0.4793,4.1589
한미반도체,2,1.4726,0.0071,0.1697,1.4726
한미반도체,7,1.4726,0.0074,0.1697,1.4726
한미반도체,6,1.3863,0.0061,0.1598,1.3863
한미반도체,5,0.7213,0.0022,0.0831,0.7213
한미반도체,3,0.7069,0.0038,0.0815,0.7069
현대자동차,6,5.5452,0.0243,0.5218,5.5452
현대자동차,7,5.1542,0.0258,0.4850,5.1542
현대자동차,0,4.2416,0.0174,0.3991,4.2416
현대자동차,2,2.9453,0.0141,0.2771,2.9453
현대자동차,4,2.8853,0.0140,0.2715,2.8853
현대자동차,5,2.8853,0.0088,0.2715,2.8853
현대자동차,3,2.8278,0.0150,0.2661,2.8278
현대자동차,1,2.0794,0.0129,0.1957,2.0794
현대차,7,6.6269,0.0332,0.4223,8.7912
현대차,4,6.4919,0.0315,0.4137,8.6121
현대차,6,6.2383,0.0274,0.3975,8.2758
