--- Sentiment Scaling Log (2026-06-30) ---
--- (Topic_ID (Semantic_Key): raw_score -> final_score) ---
--------------------------------------------------
Topic 0 (Foldable_Display_Topic): score_raw=0.5559 -> score_final=0.5559
Topic 0 (Foldable_Display_Topic): score_raw=0.5474 -> score_final=0.5474
Topic 0 (Foldable_Display_Topic): score_raw=0.5464 -> score_final=0.5464
Topic 0 (Foldable_Display_Topic): score_raw=0.5619 -> score_final=0.5619
Topic 0 (Foldable_Display_Topic): score_raw=0.5587 -> score_final=0.5587
Topic 0 (Foldable_Display_Topic): score_raw=0.5621 -> score_final=0.5621
Topic 0 (Foldable_Display_Topic): score_raw=0.5562 -> score_final=0.5562
Topic 0 (Foldable_Display_Topic): score_raw=0.5614 -> score_final=0.5614
Topic 0 (Foldable_Display_Topic): score_raw=0.5499 -> score_final=0.5499
Topic 0 (Foldable_Display_Topic): score_raw=0.5524 -> score_final=0.5524
Topic 0 (Foldable_Display_Topic): score_raw=0.5487 -> score_final=0.5487
Topic 0 (Foldable_Display_Topic): score_raw=0.5567 -> score_final=0.5567
Topic 0 (Foldable_Display_Topic): score_raw=0.5614 -> score_final=0.5614
Topic 0 (Foldable_Display_Topic): score_raw=0.5513 -> score_final=0.5513
Topic 0 (Foldable_Display_Topic): score_raw=0.5570 -> score_final=0.5570
Topic 0 (Foldable_Display_Topic): score_raw=0.5533 -> score_final=0.5533
Topic 0 (Foldable_Display_Topic): score_raw=0.5456 -> score_final=0.5456
Topic 0 (Foldable_Display_Topic): score_raw=0.5498 -> score_final=0.5498
Topic 0 (Foldable_Display_Topic): score_raw=0.5510 -> score_final=0.5510
Topic 0 (Foldable_Display_Topic): score_raw=0.5515 -> score_final=0.5515
Topic 0 (Foldable_Display_Topic): score_raw=0.5587 -> score_final=0.5587
Topic 0 (Foldable_Display_Topic): score_raw=0.5549 -> score_final=0.5549
Topic 0 (Foldable_Display_Topic): score_raw=0.5513 -> score_final=0.5513
Topic 0 (Foldable_Display_Topic): score_raw=0.5551 -> score_final=0.5551
Topic 0 (Foldable_Display_Topic): score_raw=0.5496 -> score_final=0.5496
Topic 0 (Foldable_Display_Topic): score_raw=0.5583 -> score_final=0.5583
Topic 0 (Foldable_Display_Topic): score_raw=0.5540 -> score_final=0.5540
Topic 0 (Foldable_Display_Topic): score_raw=0.5500 -> score_final=0.5500
Topic 0 (Foldable_Display_Topic): score_raw=0.5494 -> score_final=0.5494
Topic 0 (Foldable_Display_Topic): score_raw=0.5558 -> score_final=0.5558
Topic 0 (Foldable_Display_Topic): score_raw=0.5527 -> score_final=0.5527
Topic 0 (Foldable_Display_Topic): score_raw=0.5476 -> score_final=0.5476
Topic 0 (Foldable_Display_Topic): score_raw=0.5484 -> score_final=0.5484
Topic 0 (Foldable_Display_Topic): score_raw=0.5610 -> score_final=0.5610
Topic 0 (Foldable_Display_Topic): score_raw=0.5542 -> score_final=0.5542
Topic 0 (Foldable_Display_Topic): score_raw=0.5610 -> score_final=0.5610
Topic 0 (Foldable_Display_Topic): score_raw=0.5518 -> score_final=0.5518
Topic 0 (Foldable_Display_Topic): score_raw=0.5590 -> score_final=0.5590
Topic 0 (Foldable_Display_Topic): score_raw=0.5535 -> score_final=0.5535
Topic 0 (Foldable_Display_Topic): score_raw=0.5620 -> score_final=0.5620
