term,cur,prev,diff,ma7,z_like,total,date
노트북,22,5,17,5.143,5.159,107,2025-12-05
삼성디스플레이,21,2,19,7.286,3.707,143,2025-12-05
메타,7,0,7,1.0,3.0,18,2025-12-05
oled,19,7,12,10.286,2.071,261,2025-12-05
인텔,9,1,8,3.429,1.954,59,2025-12-05
xr,9,0,9,3.571,1.879,101,2025-12-05
디스플레이,6,0,6,2.714,1.241,187,2025-12-05
레노버,7,15,-8,3.571,1.186,94,2025-12-05
8k,1,0,1,0.143,0.622,3,2025-12-05
csot,1,0,1,0.143,0.622,2,2025-12-05
host,1,0,1,0.143,0.622,1,2025-12-05
lenovo,1,0,1,0.143,0.622,1,2025-12-05
nvidia,1,0,1,0.143,0.622,9,2025-12-05
그램,1,0,1,0.143,0.622,1,2025-12-05
저전력,1,0,1,0.143,0.622,9,2025-12-05
퀀텀닷,1,0,1,0.143,0.622,3,2025-12-05
화웨이,1,0,1,0.143,0.622,11,2025-12-05
ar,3,4,-1,2.0,0.414,43,2025-12-05
고성능,1,0,1,0.429,0.345,15,2025-12-05
아이패드,1,1,0,0.429,0.345,11,2025-12-05
선익시스템,2,1,1,1.286,0.335,13,2025-12-05
애플,10,9,1,8.714,0.325,238,2025-12-05
엔비디아,2,3,-1,1.429,0.26,138,2025-12-05
vr,1,0,1,0.571,0.244,13,2025-12-05
lg디스플레이,3,3,0,2.571,0.165,93,2025-12-05
카카오,1,0,1,0.714,0.155,9,2025-12-05
lg전자,11,12,-1,10.429,0.135,233,2025-12-05
아이폰,2,4,-2,1.714,0.124,79,2025-12-05
스마트워치,1,0,1,0.857,0.074,8,2025-12-05
양산,1,0,1,0.857,0.074,24,2025-12-05
bmw,1,1,0,0.857,0.074,20,2025-12-05
tsmc,1,3,-2,0.857,0.074,16,2025-12-05
boe,1,1,0,1.0,0.0,41,2025-12-05
asus,1,0,1,1.143,-0.069,24,2025-12-05
올레드,1,1,0,1.143,-0.069,40,2025-12-05
모바일,1,0,1,1.286,-0.134,48,2025-12-05
벤츠,1,0,1,1.286,-0.134,161,2025-12-05
스마트폰,2,3,-1,2.429,-0.168,86,2025-12-05
공급망,1,2,-1,1.429,-0.195,30,2025-12-05
모니터,3,3,0,3.857,-0.289,87,2025-12-05
태블릿,1,3,-2,2.143,-0.464,22,2025-12-05
폴더블,2,6,-4,3.429,-0.501,104,2025-12-05
갤럭시,1,5,-4,3.286,-0.813,79,2025-12-05
tv,6,7,-1,10.0,-0.961,228,2025-12-05
삼성전자,3,15,-12,9.429,-1.579,408,2025-12-05
기아,15,0,15,2.571,4.774,46,2025-12-06
고성능,6,1,5,1.143,2.348,21,2025-12-06
구글,5,0,5,1.429,1.627,45,2025-12-06
xr,8,9,-1,3.429,1.603,108,2025-12-06
현대모비스,3,0,3,0.571,1.383,34,2025-12-06
디스플레이,6,6,0,3.286,0.965,187,2025-12-06
양산,3,1,2,1.143,0.898,27,2025-12-06
lg전자,15,11,4,11.286,0.852,241,2025-12-06
cvd,1,0,1,0.143,0.622,3,2025-12-06
sk온,1,0,1,0.143,0.622,2,2025-12-06
hp,1,0,1,0.429,0.345,21,2025-12-06
샤오미,1,0,1,0.429,0.345,14,2025-12-06
vr,1,1,0,0.571,0.244,14,2025-12-06
모바일,2,1,1,1.571,0.19,50,2025-12-06
폴더블,4,2,2,3.714,0.098,104,2025-12-06
lcd,1,0,1,0.857,0.074,22,2025-12-06
tsmc,1,1,0,0.857,0.074,17,2025-12-06
sk하이닉스,1,0,1,1.143,-0.069,42,2025-12-06
메타,1,7,-6,1.143,-0.069,19,2025-12-06
ar,2,3,-1,2.286,-0.114,43,2025-12-06
엔비디아,1,2,-1,1.429,-0.195,136,2025-12-06
갤럭시,3,1,2,3.714,-0.244,81,2025-12-06
lg디스플레이,1,3,-2,2.143,-0.464,93,2025-12-06
노트북,4,22,-18,5.571,-0.468,104,2025-12-06
애플,5,10,-5,8.143,-0.816,214,2025-12-06
레노버,1,7,-6,3.571,-0.89,95,2025-12-06
oled,6,19,-13,10.0,-0.961,258,2025-12-06
모니터,1,3,-2,3.857,-0.964,84,2025-12-06
tv,5,6,-1,10.143,-1.229,218,2025-12-06
삼성전자,2,3,-1,8.143,-1.594,386,2025-12-06
현대모비스,5,3,2,1.143,1.864,34,2025-12-07
메타,5,1,4,1.857,1.33,24,2025-12-07
화웨이,2,0,2,0.429,0.95,13,2025-12-07
알파벳,1,0,1,0.143,0.622,10,2025-12-07
폴더블,6,4,2,4.571,0.455,108,2025-12-07
엔비디아,2,1,1,1.571,0.19,134,2025-12-07
lg전자,13,15,-2,12.286,0.159,230,2025-12-07
bmw,1,0,1,0.857,0.074,19,2025-12-07
기아,3,15,-12,2.857,0.053,49,2025-12-07
tsmc,1,1,0,1.0,0.0,18,2025-12-07
고성능,1,6,-5,1.143,-0.069,22,2025-12-07
구글,1,5,-4,1.429,-0.195,45,2025-12-07
아이폰,1,0,1,1.571,-0.254,71,2025-12-07
모바일,1,2,-1,1.714,-0.309,45,2025-12-07
갤럭시,3,3,0,4.0,-0.333,82,2025-12-07
lg디스플레이,1,1,0,2.143,-0.464,93,2025-12-07
삼성전자,6,2,4,8.143,-0.556,363,2025-12-07
인텔,1,0,1,2.429,-0.558,59,2025-12-07
ar,1,2,-1,2.429,-0.558,42,2025-12-07
모니터,2,1,1,3.714,-0.586,80,2025-12-07
디스플레이,1,6,-5,3.429,-0.852,184,2025-12-07
노트북,1,4,-3,5.286,-1.299,100,2025-12-07
애플,2,5,-3,6.857,-1.342,206,2025-12-07
tv,1,5,-4,10.143,-2.185,200,2025-12-07
삼성전자,24,6,18,10.429,3.209,374,2025-12-08
4k,4,0,4,0.571,1.953,10,2025-12-08
퀄컴,3,0,3,0.857,1.113,25,2025-12-08
구글,4,1,3,1.857,0.907,49,2025-12-08
기아,6,3,3,3.714,0.781,55,2025-12-08
tv,11,1,10,8.143,0.741,206,2025-12-08
xr,5,0,5,3.143,0.67,107,2025-12-08
비전프로,1,0,1,0.143,0.622,2,2025-12-08
스마트폰,2,0,2,1.857,0.06,82,2025-12-08
엔비디아,2,2,0,1.857,0.06,135,2025-12-08
메타,2,5,-3,2.143,-0.058,25,2025-12-08
현대모비스,1,5,-4,1.286,-0.134,35,2025-12-08
모바일,1,1,0,1.857,-0.363,46,2025-12-08
