topic_id,word,prob
0,ai,1.0
0,메타,0.6224134734380546
0,ar,0.6056736829449616
0,스마트폰,0.45698055324084264
0,메타의,0.45467473421722937
0,기기,0.40397563169059364
0,새로운,0.3715975650303998
0,메타는,0.3707864631963002
0,메타가,0.3707863945060035
0,배터리,0.2541383897061438
1,중국,1.0
1,로봇,0.6654187938353902
1,미국,0.4716584470443007
1,솔루션,0.24303227402891409
1,산업,0.20294581150920427
1,핵심,0.19540303693171707
1,기업으로,0.16890172846631055
1,협력을,0.16416042707068373
1,시장에,0.1635723212208015
1,본격적인,0.14730947277772263
2,기술,1.0
2,사업,0.8097881096983222
2,브랜드,0.5687345645576719
2,소재,0.5632053534477437
2,전기,0.5310563829481405
2,반도체,0.520261887833196
2,핵심,0.5130131697562881
2,효과를,0.49122398500875714
2,시스템,0.44948060031797116
2,개선,0.4140159078828027
3,ai,1.0
3,oled,0.7806375623590489
3,tv,0.7273448410196591
3,패널,0.7133313830217332
3,연구원은,0.711111957036517
3,제품,0.6124016060860517
3,수익성,0.5451193007378617
3,애플,0.4865538042273577
3,ceo,0.46752633224853474
3,영업이익은,0.4499201008649869
4,차량용,1.0
4,디스플레이,0.7905536955364348
4,차량,0.607117340834999
4,일부,0.3562979799223035
4,oled,0.3557722957385625
4,시장은,0.30356029528927697
4,애플,0.2863300479382496
4,업계,0.2609632865072847
4,여전히,0.2497524158468125
4,빠르게,0.24403949636897784
5,아이폰,1.0
5,혜택을,0.8765923882219975
5,삼성,0.5536700919258372
5,중이다,0.5425025507698585
5,lg,0.5228831180479722
5,규모의,0.488926200375443
5,특화,0.42737187253307546
5,이벤트,0.40877454354699383
5,애플이,0.33976932579971114
5,으로,0.32862269060293314
6,게임,1.0
6,oled,0.990270647965538
6,일본,0.5132046010050272
6,게이밍,0.3914712551278965
6,디스플레이,0.38170128526728947
6,브레이커스,0.36739645421117406
6,도쿄게임쇼,0.3673962895425419
6,삼성디스플레이는,0.3352996629163265
6,oled 게이밍,0.294403766718838
6,즐길,0.29440366084061537
7,모두,1.0
7,kt,0.896904768224612
7,하지만,0.8263266210842
7,크게,0.7481886758528936
7,사장,0.5411512957581789
7,것이,0.5232416255876889
7,역시,0.4824216830496054
7,경우,0.4391897517309645
7,됐다,0.41816578241954294
7,않았다,0.39809321174796203
8,oled,1.0
8,장비,0.5418100742054511
8,ltpo,0.36174977651183043
8,반도체,0.30715057547580016
8,중국,0.29679330785353963
8,레이저,0.2555489179093952
8,생산라인,0.25418699388739313
8,공급,0.2508817508703058
8,라인,0.2471686380444931
8,생산,0.19418591811610342
9,oled,1.0
9,디스플레이,0.6849002648211451
9,마이크로,0.6617586168481041
9,led,0.6273487371761878
9,하반기,0.4710730188593795
9,마이크로 led,0.4497841549847665
9,lg디스플레이,0.43257070839798506
9,사장은,0.40398023060419586
9,6세대,0.36431039593822917
9,실적,0.3583105651982215
